"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Ancient Relic",0.7690631808278867,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Rift Antiskele Charm",4.771241830065359,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Super Rift Vacuum Charm",2.6143790849673203,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Tiny Sprocket",3.104575163398693,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Clockwork Cog",0.2222222222222222,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Ancient String Cheese Potion",0.3485838779956427,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Timesplit Charm",0.06100217864923747,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Runic String Cheese Potion",0.2178649237472767,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Quantum Quartz",0.30501089324618735,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Rift Vacuum Charm",0.5446623093681917,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Absolute Acolyte","Portal Scrambler",0.0196078431372549,459
"Bristle Woods Rift","Acolyte","-","-","-","-","Carrion Medium","Tiny Sprocket",1,573
"Bristle Woods Rift","Acolyte","-","-","-","-","Carrion Medium","Time Sand",1.2739965095986039,573
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Carrion Medium","Quantum Quartz",1.8588235294117648,85
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Carrion Medium","Tiny Sprocket",0.9529411764705882,85
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Carrion Medium","Rift Wealth Charm",8.91764705882353,85
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Carrion Medium","Time Sand",0.8,85
"Bristle Woods Rift","Timewarp","-","-","-","-","Carrion Medium","Tiny Sprocket",0.9611759425493717,4456
"Bristle Woods Rift","Timewarp","-","-","-","-","Carrion Medium","Time Sand",1.0475763016157988,4456
"Bristle Woods Rift","Acolyte","-","-","-","-","Chronomaster","Time Sand",4,100
"Bristle Woods Rift","Timewarp","-","-","-","-","Chronomaster","Time Sand",3.4689051785292033,4229
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.9293139293139294,4810
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",0.6399168399168399,4810
"Bristle Woods Rift","Furnace Room","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.6666666666666667,6
"Bristle Woods Rift","Furnace Room","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",0.6666666666666666,6
"Bristle Woods Rift","Gearworks","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.907473309608541,281
"Bristle Woods Rift","Gearworks","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",0.5907473309608541,281
"Bristle Woods Rift","Guard Barracks","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.8652482269503545,282
"Bristle Woods Rift","Guard Barracks","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",0.5921985815602837,282
"Bristle Woods Rift","Ingress","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.8365758754863812,257
"Bristle Woods Rift","Ingress","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",0.6108949416342413,257
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Clockwork Timespinner","Ancient String Cheese Potion",1.9481132075471699,424
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Clockwork Timespinner","Quantum Quartz",0.8136792452830188,424
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Clockwork Timespinner","Tiny Sprocket",1.4599056603773586,424
"Bristle Woods Rift","Acolyte","-","-","-","-","Dread Knight","Tiny Sprocket",3.0108772759517617,4229
"Bristle Woods Rift","Acolyte","-","-","-","-","Dread Knight","Time Sand",0.13052731142113974,4229
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Dread Knight","Tiny Sprocket",2.7888446215139444,251
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Dread Knight","Time Sand",0.05179282868525897,251
"Bristle Woods Rift","Frozen Alcove","-","-","-","-","Dread Knight","Tiny Sprocket",2.945692883895131,534
"Bristle Woods Rift","Frozen Alcove","-","-","-","-","Dread Knight","Time Sand",0.08426966292134831,534
"Bristle Woods Rift","Furnace Room","-","-","-","-","Dread Knight","Tiny Sprocket",3,4
"Bristle Woods Rift","Gearworks","-","-","-","-","Dread Knight","Tiny Sprocket",2.8685208596713023,791
"Bristle Woods Rift","Gearworks","-","-","-","-","Dread Knight","Time Sand",0.0493046776232617,791
"Bristle Woods Rift","Guard Barracks","-","-","-","-","Dread Knight","Tiny Sprocket",2.820976491862568,553
"Bristle Woods Rift","Guard Barracks","-","-","-","-","Dread Knight","Time Sand",0.07233273056057866,553
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Dread Knight","Rift Wealth Charm",6.521428571428571,140
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Dread Knight","Quantum Quartz",1.9857142857142858,140
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Dread Knight","Tiny Sprocket",2.8857142857142857,140
"Bristle Woods Rift","Hidden Treasury","-","-","-","-","Dread Knight","Time Sand",0.07142857142857142,140
"Bristle Woods Rift","Ingress","-","-","-","-","Dread Knight","Tiny Sprocket",2.9825581395348837,172
"Bristle Woods Rift","Ingress","-","-","-","-","Dread Knight","Time Sand",0.13372093023255813,172
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Dread Knight","Tiny Sprocket",3.652,250
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Dread Knight","Quantum Quartz",0.82,250
"Bristle Woods Rift","Lucky Tower","-","-","-","-","Dread Knight","Time Sand",0.084,250
"Bristle Woods Rift","Runic Laboratory","-","-","-","-","Dread Knight","Tiny Sprocket",2.8545454545454545,275
"Bristle Woods Rift","Runic Laboratory","-","-","-","-","Dread Knight","Time Sand",0.11636363636363636,275
"Bristle Woods Rift","Timewarp","-","-","-","-","Dread Knight","Tiny Sprocket",2.824786324786325,234
"Bristle Woods Rift","Timewarp","-","-","-","-","Dread Knight","Time Sand",0.09829059829059829,234
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Epoch Golem","Ancient String Cheese Potion",1.9021739130434783,1656
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Epoch Golem","Quantum Quartz",0.5380434782608695,1656
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Epoch Golem","Rift Antiskele Charm",0.2928743961352657,1656
"Bristle Woods Rift","Ancient Lab","-","-","-","-","Epoch Golem","Time Sand",0.20471014492753623,1656
"Bristle Woods Rift","Gearworks","-","-","-","-","Epoch Golem","Ancient String Cheese Potion",1.8222222222222222,45
"Bristle Woods Rift","Gearworks","-","-","-","-","Epoch Golem","Quantum Quartz",0.4222222222222222,45
