"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Calm Clearing","-","-","-","-","-","Black Widow","SUPER|brie+",5.672413793103448,116
"Calm Clearing","-","-","-","-","-","Black Widow","Ancient Relic",0.47413793103448276,116
"Calm Clearing","-","-","-","-","-","Cherry","Flawless Orb",0.7685409030648054,12823
"Calm Clearing","-","-","-","-","-","Cherry","Swiss Cheese",1.5240583326834594,12823
"Calm Clearing","-","-","-","-","-","Cherry","Marble Cheese",2.2355922950947518,12823
"Calm Clearing","-","-","-","-","-","Cherry","Cheddar Cheese",7.648756141308586,12823
"Calm Clearing","-","-","-","-","-","Cherry","Cherry Potion",0.13288622007330578,12823
"Calm Clearing","-","-","-","-","-","Cherry","Brie Potion",0.10052249863526476,12823
"Calm Clearing","-","-","-","-","-","Cherry","Greater Brie Potion",0.0937378148639164,12823
"Calm Clearing","-","-","-","-","-","Cyclops","Cherry Potion",1.0000964599209028,10367
"Calm Clearing","-","-","-","-","-","Cyclops","Simple Orb",0.6769557248963056,10367
"Calm Clearing","-","-","-","-","-","Eagle Owl","Cherry Potion",1,1802
"Calm Clearing","-","-","-","-","-","Foxy","Swiss Cheese",2.544642857142857,112
"Calm Clearing","-","-","-","-","-","Shaman","Splintered Wood",0.815147220910093,25404
"Calm Clearing","-","-","-","-","-","Treant","Splintered Wood",6.450638199118125,21545
