"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Cape Clawed","-","-","-","-","-","Aged","Stale SUPER|brie+",2.499739827245291,9609
"Cape Clawed","-","-","-","-","-","Aged","Ancient Relic",0.028410864814236655,9609
"Cape Clawed","-","-","-","-","-","Alchemist","Seashell",0.21554390211106628,7437
"Cape Clawed","-","-","-","-","-","Caretaker","Savoury Vegetables",0.2144107744107744,7425
"Cape Clawed","-","-","-","-","-","Elder","Ancient Relic",0.05968431437027294,6082
"Cape Clawed","-","-","-","-","-","Grandfather","Ancient Relic",0.048513302034428794,5751
"Cape Clawed","-","-","-","-","-","Healer","Delicious Stone",0.214668139712756,11767
"Cape Clawed","-","-","-","-","-","Narrator","Savoury Vegetables",0.22103719504066124,7501
"Cape Clawed","-","-","-","-","-","Nibbler","Ancient Relic",0.216,125
"Cape Clawed","-","-","-","-","-","Pathfinder","Savoury Vegetables",0.2197079331666886,7601
"Cape Clawed","-","-","-","-","-","Scout","Seashell",0.22055035922461705,7377
"Cape Clawed","-","-","-","-","-","Shipwrecked","Flawless Orb",0.3285318559556787,1805
"Cape Clawed","-","-","-","-","-","Taleweaver","Seashell",0.22376443118433,7709
"Cape Clawed","-","-","-","-","-","Trailblazer","Delicious Stone",0.2145010183299389,12275
"Cape Clawed","-","-","-","-","-","Wordsmith","Delicious Stone",0.22320909770067238,12047
