"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Catacombs","-","-","-","-","-","Black Widow","Radioactive Blue Cheese",6,1
"Catacombs","-","-","-","-","-","Black Widow","SUPER|brie+",5,1
"Catacombs","-","-","-","-","-","Keeper","Ancient Potion",0.3333333333333333,204
"Catacombs","-","-","-","-","-","Keeper","Corrupted Radioactive Blue Potion",0.09313725490196079,204
"Catacombs","-","-","-","-","-","Keeper","Coal",0.0784313725490196,204
"Catacombs","-","-","-","-","-","Keeper's Assistant","Ancient Potion",1,282
"Catacombs","-","-","-","-","-","Lycan","Stale Cheese",3.0588235294117645,17
"Catacombs","-","-","-","-","-","Monster","Brie Cheese",3,2
"Catacombs","-","-","-","-","-","Monster","Living Shard",1.5,2
"Catacombs","-","-","-","-","-","Monster","Marble Cheese",12.5,2
"Catacombs","-","-","-","-","-","Monster","Cheddar Cheese",10.5,2
"Catacombs","-","-","-","-","-","Mummy","Stale Cheese",2.2153846153846155,130
"Catacombs","-","-","-","-","-","Scavenger","Scrap Metal",1.0977198697068404,307
"Catacombs","-","-","-","-","-","Scavenger","Coal",0.3485342019543974,307
"Catacombs","-","-","-","-","-","Scavenger","Ancient Potion",0.3322475570032573,307
"Catacombs","-","-","-","-","-","Scavenger","Corrupted Radioactive Blue Potion",0.11726384364820847,307
"Catacombs","-","-","-","-","-","Spider","Radioactive Blue Cheese",0.10749185667752444,307
"Catacombs","-","-","-","-","-","Terror Knight","Scrap Metal",1.0588235294117647,170
"Catacombs","-","-","-","-","-","Grave Robber","Rotten Charm",1.1136363636363635,44
"Catacombs","-","-","-","-","-","Grave Robber","Scrap Metal",0.8409090909090909,44
"Catacombs","-","-","-","-","-","Grave Robber","Antiskele Charm",0.5227272727272727,44
"Catacombs","-","-","-","-","-","Grave Robber","Super Rotten Charm",0.4090909090909091,44
"Catacombs","-","-","-","-","-","Grave Robber","Unstable Charm",0.06818181818181818,44
"Catacombs","-","-","-","-","-","Zombot Unipire","Corrupted Radioactive Blue Potion",0.5384615384615384,39
"Catacombs","-","-","-","-","-","Zombot Unipire","Radioactive Sludge",2.41025641025641,39
