"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Derr Dunes","-","-","-","-","-","Black Widow","SUPER|brie+",5.677611940298507,335
"Derr Dunes","-","-","-","-","-","Black Widow","Ancient Relic",0.4955223880597015,335
"Derr Dunes","-","-","-","-","-","Derr Chieftain","Red Pepper Seed",2.0434860495319986,22329
"Derr Dunes","-","-","-","-","-","Gladiator","Red Pepper Seed",1.5001014363385539,49292
"Derr Dunes","-","-","-","-","-","Grunt","Delicious Stone",1.3695802359963523,72374
"Derr Dunes","-","-","-","-","-","Guardian","Red Pepper Seed",1.0003705639222766,105245
"Derr Dunes","-","-","-","-","-","Healer","Delicious Stone",0.22107584309441444,49431
"Derr Dunes","-","-","-","-","-","Mintaka","Delicious Stone",0.8024506679501021,76877
"Derr Dunes","-","-","-","-","-","Renegade","Delicious Stone",0.9678571932946377,70809
"Derr Dunes","-","-","-","-","-","Seer","Delicious Stone",0.8858711081669348,73969
"Derr Dunes","-","-","-","-","-","Spellbinder","Delicious Stone",0.775410504956937,90681
"Derr Dunes","-","-","-","-","-","Trailblazer","Delicious Stone",0.22396325078073934,55076
"Derr Dunes","-","-","-","-","-","Wordsmith","Delicious Stone",0.22448979591836735,51107
