"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Elub Shore","-","-","-","-","-","Alchemist","Seashell",0.21691771442798458,32132
"Elub Shore","-","-","-","-","-","Alnitak","Seashell",0.7266035751840169,48501
"Elub Shore","-","-","-","-","-","Black Widow","SUPER|brie+",5.402985074626866,268
"Elub Shore","-","-","-","-","-","Black Widow","Ancient Relic",0.44776119402985076,268
"Elub Shore","-","-","-","-","-","Champion","Blue Pepper Seed",1.5003348795673852,40313
"Elub Shore","-","-","-","-","-","Elub Chieftain","Blue Pepper Seed",2.0541997887597976,17989
"Elub Shore","-","-","-","-","-","Mystic","Seashell",0.6184924862574244,58759
"Elub Shore","-","-","-","-","-","Pack","Seashell",1.085770861582833,46461
"Elub Shore","-","-","-","-","-","Protector","Blue Pepper Seed",1.0001044483386912,86167
"Elub Shore","-","-","-","-","-","Scout","Seashell",0.2202703564369062,31366
"Elub Shore","-","-","-","-","-","Soothsayer","Seashell",0.8249389695490171,46698
"Elub Shore","-","-","-","-","-","Taleweaver","Seashell",0.22385503907344562,32119
"Elub Shore","-","-","-","-","-","Vanquisher","Seashell",0.9180991349596389,44969
