"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Forbidden Grove","-","-","-","-","-","Black Widow","Radioactive Blue Cheese",1,1
"Forbidden Grove","-","-","-","-","-","Black Widow","SUPER|brie+",9,1
"Forbidden Grove","-","-","-","-","-","Gargoyle","Rune",0.6013071895424836,153
"Forbidden Grove","-","-","-","-","-","Gate Guardian","Rune",2.789473684210526,19
"Forbidden Grove","-","-","-","-","-","Golem","Rune",1.5405405405405406,37
"Forbidden Grove","-","-","-","-","-","Mutated Brown","Stale Cheese",2,52
"Forbidden Grove","-","-","-","-","-","Mutated Grey","Stale Cheese",1.3458646616541354,133
"Forbidden Grove","-","-","-","-","-","Mutated White","Stale Cheese",0.7964601769911505,113
"Forbidden Grove","-","-","-","-","-","Realm Ripper","Rune",0.6296296296296297,216
"Forbidden Grove","-","-","-","-","-","Realm Ripper","Stale Cheese",1.2592592592592593,216
"Forbidden Grove","-","-","-","-","-","Realm Ripper","Runic Potion",0.1388888888888889,216
"Forbidden Grove","-","-","-","-","-","Realm Ripper","Ancient Relic",0.06944444444444445,216
"Forbidden Grove","-","-","-","-","-","Realm Ripper","Divine Orb",0.06481481481481481,216
"Forbidden Grove","-","-","-","-","-","Reaper","Ancient Relic",0.14285714285714285,14
"Forbidden Grove","-","-","-","-","-","Scavenger","Scrap Metal",0.580952380952381,105
"Forbidden Grove","-","-","-","-","-","Scavenger","Rune",1.5904761904761904,105
"Forbidden Grove","-","-","-","-","-","Sorcerer","Rune",0.9333333333333333,15
