"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Fort Rox","-","-","-","-","-","Mining Materials Manager","Tower Mana",1.867998300042499,23530
"Fort Rox","-","-","-","-","-","Mining Materials Manager","Fool's Gold",0.07819804504887377,23530
"Fort Rox","-","-","-","-","-","Alpha Weremouse","Howlite",1,51407
"Fort Rox","-","-","-","-","-","Arcane Summoner","Howlite",2.5018732130533374,20286
"Fort Rox","-","-","-","-","-","Arcane Summoner","Bloodstone",1,20286
"Fort Rox","-","-","-","-","-","Arcane Summoner","Simple Orb",0.047421867297643694,20286
"Fort Rox","-","-","-","-","-","Arcane Summoner","Flawless Orb",0.029231982648131715,20286
"Fort Rox","-","-","-","-","-","Arcane Summoner","Divine Orb",0.019668737060041408,20286
"Fort Rox","-","-","-","-","-","Cursed Taskmaster","Bloodstone",0.8187975330129782,26429
"Fort Rox","-","-","-","-","-","Hypnotized Gunslinger","Howlite",0.5360377750720161,33673
"Fort Rox","-","-","-","-","-","Hypnotized Gunslinger","Bloodstone",0.27639354972826896,33673
"Fort Rox","-","-","-","-","-","Hypnotized Gunslinger","Fool's Gold",0.09586315445609242,33673
"Fort Rox","-","-","-","-","-","Meteorite Golem","Bloodstone",0.49339466855390424,25434
"Fort Rox","-","-","-","-","-","Meteorite Golem","Howlite",0.40760399465282693,25434
"Fort Rox","-","-","-","-","-","Meteorite Mystic","Bloodstone",1.4983114953397272,14806
"Fort Rox","-","-","-","-","-","Meteorite Mystic","Howlite",0.3256112386870188,14806
"Fort Rox","-","-","-","-","-","Mischievous Wereminer","Howlite",0.13042738780766333,41157
"Fort Rox","-","-","-","-","-","Night Shift Materials Manager","Tower Mana",1.9072936244036431,27668
"Fort Rox","-","-","-","-","-","Night Shift Materials Manager","Howlite",1.9999277143270204,27668
"Fort Rox","-","-","-","-","-","Night Shift Materials Manager","Fool's Gold",0.14630620211074166,27668
"Fort Rox","-","-","-","-","-","Night Watcher","Bloodstone",0.26684067505720827,27968
"Fort Rox","-","-","-","-","-","Wealthy Werewarrior","Bloodstone",0.5888571908038261,17877
"Fort Rox","-","-","-","-","-","Wealthy Werewarrior","Fool's Gold",0.33786429490406666,17877
"Fort Rox","-","-","-","-","-","Wealthy Werewarrior","Simple Orb",0.04654024724506349,17877
"Fort Rox","-","-","-","-","-","Wealthy Werewarrior","Flawless Orb",0.029926721485707894,17877
"Fort Rox","-","-","-","-","-","Werehauler","Howlite",0.07007023836210118,53532
