Location,Phase,Trap,Base,Cheese,Charm,Mouse,Loot,Qty,Sample
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Belt,Battery Fragment,0.75,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Claw,Battery Fragment,0.75,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Fang,Battery Fragment,0.75,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Belt,Battery Fragment,1.50,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Claw,Battery Fragment,1.50,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Fang,Battery Fragment,1.50,
Furoma Rift,Pagoda,-,-,-,-,Grand Master of the Dojo,Battery Fragment,3.40,
Furoma Rift,Pagoda,-,-,-,-,Supreme Sensei,Battery Fragment,8.00,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Belt,Enerchi,1,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Claw,Enerchi,1,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Fang,Enerchi,1,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Belt,Enerchi,2,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Claw,Enerchi,2,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Fang,Enerchi,2,
Furoma Rift,Pagoda,-,-,-,-,Grand Master of the Dojo,Enerchi,3,
Furoma Rift,Pagoda,-,-,-,-,Supreme Sensei,Enerchi,4,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Belt,Rift Circuitry,0.15,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Claw,Rift Circuitry,0.15,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Fang,Rift Circuitry,0.15,
Furoma Rift,Pagoda,-,-,-,-,Grand Master of the Dojo,Rift Circuitry,0.25,
Furoma Rift,Pagoda,-,-,-,-,Supreme Sensei,Rift Circuitry,0.60,
Furoma Rift,Pagoda,-,-,-,-,Ascended Elder,Unstable Broom,1,5353
Furoma Rift,Pagoda,-,-,-,-,Ascended Elder,Rift Ultimate Luck Charm,0.5501587895,5353
Furoma Rift,Pagoda,-,-,-,-,Ascended Elder,Rift Ultimate Power Charm,0.7593872595,5353
Furoma Rift,Pagoda,-,-,-,-,Ascended Elder,Enerchi Charm,25,5353
Furoma Rift,Pagoda,-,-,-,-,Ascended Elder,Rift Circuit Chips,0.8128152438,5353
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Belt,Chi Belt Token,1,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Claw,Chi Claw Token,1,
Furoma Rift,Pagoda,-,-,-,-,Student of the Chi Fang,Chi Fang Token,1,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Belt,Chi Belt Heirloom,1,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Claw,Chi Claw Heirloom,1,
Furoma Rift,Pagoda,-,-,-,-,Master of the Chi Fang,Chi Fang Heirloom,1,
Furoma Rift,Pagoda,-,-,-,-,Grand Master of the Dojo,Null Onyx Stone,1,
Furoma Rift,Pagoda,-,-,-,-,Supreme Sensei,Rift Blossom Branch,1,
