"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Furoma Rift","-","-","-","-","-","Armored Archer","Enerchi",4,1135
"Furoma Rift","-","-","-","-","-","Armored Archer","Enerchi Charm",0.4713656387665198,1135
"Furoma Rift","-","-","-","-","-","Armored Archer","Erupting Rift Core",0.03612334801762115,1135
"Furoma Rift","-","-","-","-","-","Armored Archer","Flawless Orb",0.03259911894273128,1135
"Furoma Rift","-","-","-","-","-","Dancing Assassin","Enerchi Charm",2.4721189591078065,269
"Furoma Rift","-","-","-","-","-","Dancing Assassin","Divine Orb",0.1412639405204461,269
"Furoma Rift","-","-","-","-","-","Dancing Assassin","Flawless Orb",0.03345724907063197,269
"Furoma Rift","-","-","-","-","-","Dumpling Delivery","Enerchi",3,1157
"Furoma Rift","-","-","-","-","-","Dumpling Delivery","Nori",0.06395851339671564,1157
"Furoma Rift","-","-","-","-","-","Dumpling Delivery","Rift Curd",0.04235090751944685,1157
"Furoma Rift","-","-","-","-","-","Dumpling Delivery","Ionized Salt",0.03975799481417459,1157
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Enerchi",10,115
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Simple Orb",0.2782608695652174,115
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Enerchi Charm",0.1826086956521739,115
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Rift Circuit Chips",0.02608695652173913,115
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Scrap Metal",0.017391304347826087,115
"Furoma Rift","-","-","-","-","-","Enlightened Labourer","Aleth Essence",0.017391304347826087,115
"Furoma Rift","-","-","-","-","-","Militant Samurai","Enerchi",1.3724304715840387,827
"Furoma Rift","-","-","-","-","-","Militant Samurai","Enerchi Charm",0.049576783555018135,827
"Furoma Rift","-","-","-","-","-","Militant Samurai","Simple Orb",0.02781136638452237,827
"Furoma Rift","-","-","-","-","-","Rift Guardian","Flawed Orb",0.3092369477911647,249
"Furoma Rift","-","-","-","-","-","Rift Guardian","Simple Orb",0.1927710843373494,249
"Furoma Rift","-","-","-","-","-","Rift Guardian","Flawless Orb",0.03614457831325301,249
"Furoma Rift","-","-","-","-","-","Shaolin Kung Fu","Enerchi",1.545129579982127,1119
"Furoma Rift","-","-","-","-","-","Shaolin Kung Fu","Enerchi Charm",0.08489722966934764,1119
"Furoma Rift","-","-","-","-","-","Shaolin Kung Fu","Simple Orb",0.02770330652368186,1119
"Furoma Rift","-","-","-","-","-","Shinobi","Enerchi",3.368600682593857,1758
"Furoma Rift","-","-","-","-","-","Shinobi","Enerchi Charm",0.39761092150170646,1758
"Furoma Rift","-","-","-","-","-","Shinobi","Divine Orb",0.02901023890784983,1758
"Furoma Rift","-","-","-","-","-","Shinobi","Erupting Rift Core",0.01478953356086462,1758
"Furoma Rift","-","-","-","-","-","Wandering Monk","Enerchi",1.6538461538461537,884
"Furoma Rift","-","-","-","-","-","Wandering Monk","Enerchi Charm",0.06900452488687783,884
"Furoma Rift","-","-","-","-","-","Student of the Chi Belt","Enerchi",1,1249
"Furoma Rift","-","-","-","-","-","Student of the Chi Belt","Chi Belt Token",1,1249
"Furoma Rift","-","-","-","-","-","Student of the Chi Belt","Battery Fragment",0.7598078462770216,1249
"Furoma Rift","-","-","-","-","-","Student of the Chi Belt","Simple Orb",0.04483586869495596,1249
"Furoma Rift","-","-","-","-","-","Student of the Chi Claw","Enerchi",1,1285
"Furoma Rift","-","-","-","-","-","Student of the Chi Claw","Chi Claw Token",1,1285
"Furoma Rift","-","-","-","-","-","Student of the Chi Claw","Battery Fragment",0.754863813229572,1285
"Furoma Rift","-","-","-","-","-","Student of the Chi Claw","Simple Orb",0.05291828793774319,1285
"Furoma Rift","-","-","-","-","-","Student of the Chi Fang","Enerchi",1,1281
"Furoma Rift","-","-","-","-","-","Student of the Chi Fang","Chi Fang Token",1,1281
"Furoma Rift","-","-","-","-","-","Student of the Chi Fang","Battery Fragment",0.7587822014051522,1281
"Furoma Rift","-","-","-","-","-","Student of the Chi Fang","Simple Orb",0.04449648711943794,1281
"Furoma Rift","-","-","-","-","-","Master of the Chi Belt","Chi Belt Heirloom",1,877
"Furoma Rift","-","-","-","-","-","Master of the Chi Belt","Enerchi",2,877
"Furoma Rift","-","-","-","-","-","Master of the Chi Belt","Battery Fragment",1.5233751425313569,877
"Furoma Rift","-","-","-","-","-","Master of the Chi Belt","Rift Circuitry",0.1402508551881414,877
"Furoma Rift","-","-","-","-","-","Master of the Chi Belt","Simple Orb",0.055872291904218926,877
"Furoma Rift","-","-","-","-","-","Master of the Chi Claw","Chi Claw Heirloom",1,888
"Furoma Rift","-","-","-","-","-","Master of the Chi Claw","Enerchi",2,888
"Furoma Rift","-","-","-","-","-","Master of the Chi Claw","Battery Fragment",1.5653153153153154,888
"Furoma Rift","-","-","-","-","-","Master of the Chi Claw","Rift Circuitry",0.12725225225225226,888
"Furoma Rift","-","-","-","-","-","Master of the Chi Claw","Simple Orb",0.05518018018018018,888
"Furoma Rift","-","-","-","-","-","Master of the Chi Fang","Enerchi",2,911
"Furoma Rift","-","-","-","-","-","Master of the Chi Fang","Chi Fang Heirloom",1,911
"Furoma Rift","-","-","-","-","-","Master of the Chi Fang","Battery Fragment",1.5521405049396269,911
"Furoma Rift","-","-","-","-","-","Master of the Chi Fang","Rift Circuitry",0.12184412733260154,911
"Furoma Rift","-","-","-","-","-","Master of the Chi Fang","Simple Orb",0.04610318331503842,911
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Enerchi",3,562
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Null Onyx Stone",1,562
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Battery Fragment",3.4661921708185055,562
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Rift Circuitry",0.2704626334519573,562
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Divine Orb",0.11209964412811388,562
"Furoma Rift","-","-","-","-","-","Grand Master of the Dojo","Ancient Relic",0.019572953736654804,562
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Rift Blossom Branch",1,362
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Battery Fragment",8,362
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Enerchi",4.013812154696133,362
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Rift Circuitry",0.5966850828729282,362
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Divine Orb",0.30939226519337015,362
"Furoma Rift","-","-","-","-","-","Supreme Sensei","Ancient Relic",0.04696132596685083,362
"Furoma Rift","-","-","-","-","-","Ascended Elder","Unstable Broom",1,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Enerchi Charm",27.636363636363637,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Calcified Rift Mist",12.472727272727273,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Ancient Relic",0.38181818181818183,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Simple Orb",0.35454545454545455,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Rift Ultimate Luck Charm",0.6090909090909091,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Divine Orb",0.22727272727272727,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Rift Ultimate Power Charm",0.5727272727272728,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Flawed Orb",0.10909090909090909,110
"Furoma Rift","-","-","-","-","-","Ascended Elder","Flawless Orb",0.02727272727272727,110
