"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Bazaar","-","-","-","Gilded","-","Burglar","Gilded Cheese",2.7903475217709777,12287
"Harbour","-","-","-","Gilded","-","Burglar","Gilded Cheese",3.4285714285714284,7
"King's Arms","-","-","-","Gilded","-","Burglar","Gilded Cheese",2.625129802699896,1926
"Bazaar","-","-","-","SB+","-","Burglar","Gilded Cheese",2.753047654229775,5414
"Harbour","-","-","-","SB+","-","Burglar","Gilded Cheese",2.649792531120332,4820
"King's Arms","-","-","-","SB+","-","Burglar","Gilded Cheese",2.6287816843826657,2446
"Tournament Hall","-","-","-","SB+","-","Burglar","Gilded Cheese",2.547774158523344,1842
"Laboratory","-","-","-","SB+","-","Burglar","Gilded Cheese",2.6864988558352403,874
"Bazaar","-","-","-","Gouda","-","Burglar","Gilded Cheese",2.5822784810126582,79
"Harbour","-","-","-","Gouda","-","Burglar","Gilded Cheese",1.8181818181818181,11
"King's Arms","-","-","-","Gouda","-","Burglar","Gilded Cheese",4.4,5
"Tournament Hall","-","-","-","Gouda","-","Burglar","Gilded Cheese",3.6666666666666665,3
"Laboratory","-","-","-","Gouda","-","Burglar","Gilded Cheese",2.5,4
"Bazaar","-","-","-","Brie","-","Burglar","Gilded Cheese",2.7037037037037037,2214
"Harbour","-","-","-","Brie","-","Burglar","Gilded Cheese",2.5988620199146517,2812
"King's Arms","-","-","-","Brie","-","Burglar","Gilded Cheese",2.672609400324149,617
"Tournament Hall","-","-","-","Brie","-","Burglar","Gilded Cheese",2.6235489220563846,603
"Laboratory","-","-","-","Brie","-","Burglar","Gilded Cheese",2.543330821401658,2654
