"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Gnawnian Express Station","-","-","-","-","-","Automorat","Raider-B-Gone Mouse Repellent",0.9998897626221798,27214
"Gnawnian Express Station","-","-","-","-","-","Automorat","Copper Bead",0.7800029396634085,27214
"Gnawnian Express Station","-","-","-","-","-","Black Powder Thief","Fuel Nugget",2.4377729257641922,21068
"Gnawnian Express Station","-","-","-","-","-","Black Powder Thief","Tin Scrap",2.3274159863299793,21068
"Gnawnian Express Station","-","-","-","-","-","Black Powder Thief","Magmatic Crystal Charm",1.5800265805961649,21068
"Gnawnian Express Station","-","-","-","-","-","Black Powder Thief","Ancient Relic",0.013670020884754129,21068
"Gnawnian Express Station","-","-","-","-","-","Cannonball","Raider-B-Gone Mouse Repellent",0.9999288813028945,28122
"Gnawnian Express Station","-","-","-","-","-","Cannonball","Copper Bead",0.7797098357158097,28122
"Gnawnian Express Station","-","-","-","-","-","Coal Shoveller","Fuel Nugget",1.2893976080416758,68145
"Gnawnian Express Station","-","-","-","-","-","Coal Shoveller","Tin Scrap",1.55016508914814,68145
"Gnawnian Express Station","-","-","-","-","-","Coal Shoveller","Black Powder Charm",1.5696202531645569,158
"Gnawnian Express Station","-","-","-","-","-","Crate Camo","Royal Supply Crate",1.999959446032808,49317
"Gnawnian Express Station","-","-","-","-","-","Crate Camo","Iron Pellet",1.5723584159620414,49317
"Gnawnian Express Station","-","-","-","-","-","Cute Crate Carrier","Royal Supply Crate",0.9999399840957853,66649
"Gnawnian Express Station","-","-","-","-","-","Cute Crate Carrier","Iron Pellet",1.5558523008597278,66649
"Gnawnian Express Station","-","-","-","-","-","Dangerous Duo","Copper Bead",1.5765208490943883,22471
"Gnawnian Express Station","-","-","-","-","-","Fuel","Fuel Nugget",0.9999313681754229,58282
"Gnawnian Express Station","-","-","-","-","-","Fuel","Tin Scrap",1.2864006039600562,58282
"Gnawnian Express Station","-","-","-","-","-","Hookshot","Raider-B-Gone Mouse Repellent",1,25880
"Gnawnian Express Station","-","-","-","-","-","Hookshot","Copper Bead",0.7863601236476043,25880
"Gnawnian Express Station","-","-","-","-","-","Magmatic Crystal Thief","Fuel Nugget",3.570141784820684,5995
"Gnawnian Express Station","-","-","-","-","-","Magmatic Crystal Thief","Tin Scrap",3.129608006672227,5995
"Gnawnian Express Station","-","-","-","-","-","Magmatic Crystal Thief","Ancient Relic",0.020016680567139282,5995
"Gnawnian Express Station","-","-","-","-","-","Magmatic Golem","Fuel Nugget",5.807017543859649,1140
"Gnawnian Express Station","-","-","-","-","-","Magmatic Golem","Tin Scrap",4.6535087719298245,1140
"Gnawnian Express Station","-","-","-","-","-","Magmatic Golem","Ancient Relic",0.02280701754385965,1140
"Gnawnian Express Station","-","-","-","-","-","Mouse With No Name","Copper Bead",1.5813536147667064,35106
"Gnawnian Express Station","-","-","-","-","-","Sharpshooter","Copper Bead",1.574026566330312,35082
"Gnawnian Express Station","-","-","-","-","-","Steel Horse Rider","Copper Bead",1.5766958234374095,34526
"Gnawnian Express Station","-","-","-","-","-","Stoutgear","Raider-B-Gone Mouse Repellent",1,26697
"Gnawnian Express Station","-","-","-","-","-","Stoutgear","Copper Bead",0.7843577930104506,26697
"Gnawnian Express Station","-","-","-","-","-","Stowaway","Fool's Gold",3.991309442437262,20482
"Gnawnian Express Station","-","-","-","-","-","Supply Hoarder","Royal Supply Crate",4.100662379732147,41366
"Gnawnian Express Station","-","-","-","-","-","Supply Hoarder","Iron Pellet",1.572595851665619,41366
"Gnawnian Express Station","-","-","-","-","-","Train Engineer","Dusty Coal Charm",1.2399089458368535,85224
"Gnawnian Express Station","-","-","-","-","-","Train Engineer","Tin Scrap",1.2880057260865483,85224
"Gnawnian Express Station","-","-","-","-","-","Train Engineer","Fuel Nugget",0.7849080071341407,85224
"Gnawnian Express Station","-","-","-","-","-","Warehouse Manager","Royal Supply Crate",2.999799973329777,14998
"Gnawnian Express Station","-","-","-","-","-","Warehouse Manager","Iron Pellet",1.5692759034537938,14998
