"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Great Gnarled Tree","-","-","-","-","-","Bear","Gnarled Potion",0.5688991531947653,14289
"Great Gnarled Tree","-","-","-","-","-","Centaur","Gnarled Potion",0.992852798053528,13152
"Great Gnarled Tree","-","-","-","-","-","Chameleon","Gnarled Potion",0.38650732995206005,14393
"Great Gnarled Tree","-","-","-","-","-","Frog","Gnarled Potion",0.39626907857546634,14152
"Great Gnarled Tree","-","-","-","-","-","Shaman","Splintered Wood",0.8165075760264008,28181
"Great Gnarled Tree","-","-","-","-","-","Treant","Splintered Wood",6.439726074538009,29059
"Great Gnarled Tree","-","-","-","-","-","Curious Chemist","Wicked Gnarly Potion",1.1951510540059143,57827
"Great Gnarled Tree","-","-","-","-","-","Black Widow","SUPER|brie+",5.902985074626866,268
"Great Gnarled Tree","-","-","-","-","-","Black Widow","Ancient Relic",0.6194029850746269,268
"Great Gnarled Tree","-","-","-","-","-","Black Widow","Gnarled Cheese",1.9514925373134329,268
"Great Gnarled Tree","-","-","-","-","-","Black Widow","Wicked Gnarly Cheese",0.664179104477612,268
"Great Gnarled Tree","-","-","-","-","-","Nibbler","Ancient Relic",0.2682926829268293,410
