"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Iceberg","-","-","-","-","-","Chipper","Sticky Charm",0.10591014102961967,58002
"Iceberg","-","-","-","-","-","Chipper","Wax Charm",0.10506534257439398,58002
"Iceberg","-","-","-","-","-","Chipper","Wax Charm",0.13636363636363635,286
"Iceberg","-","-","-","-","-","Chipper","Sticky Charm",0.038461538461538464,286
"Iceberg","-","-","-","-","-","Chipper","Wax Charm",0.10381523505471907,69537
"Iceberg","-","-","-","-","-","Chipper","Sticky Charm",0.1034269525576312,69537
"Iceberg","-","-","-","-","-","Chipper","Wax Charm",0.10563174788444704,27416
"Iceberg","-","-","-","-","-","Chipper","Sticky Charm",0.10216661803326525,27416
"Iceberg","-","-","-","-","-","Heavy Blaster","Wax Charm",0.13304721030042918,233
"Iceberg","-","-","-","-","-","Heavy Blaster","Sticky Charm",0.12875536480686695,233
"Iceberg","-","-","-","-","-","Heavy Blaster","Wax Charm",0.10107002360346184,63550
"Iceberg","-","-","-","-","-","Heavy Blaster","Sticky Charm",0.0977970102281668,63550
"Iceberg","-","-","-","-","-","Iceblade","Wax Charm",0.08260869565217391,230
"Iceberg","-","-","-","-","-","Iceblade","Sticky Charm",0.06956521739130435,230
"Iceberg","-","-","-","-","-","Iceblade","Sticky Charm",0.09915921526758308,22479
"Iceberg","-","-","-","-","-","Iceblade","Wax Charm",0.09649005738689444,22479
"Iceberg","-","-","-","-","-","Iceblock","Wax Charm",0.09570957095709572,606
"Iceberg","-","-","-","-","-","Iceblock","Sticky Charm",0.09075907590759076,606
"Iceberg","-","-","-","-","-","Iceblock","Sticky Charm",0.09997588452130775,87081
"Iceberg","-","-","-","-","-","Iceblock","Wax Charm",0.09924093659925816,87081
"Iceberg","-","-","-","-","-","Iceblock","Wax Charm",0.10007755479299245,94127
"Iceberg","-","-","-","-","-","Iceblock","Sticky Charm",0.09822898849426838,94127
"Iceberg","-","-","-","-","-","Iceblock","Wax Charm",0.0995569962182604,46275
"Iceberg","-","-","-","-","-","Iceblock","Sticky Charm",0.09687736358725013,46275
"Iceberg","-","-","-","-","-","Icebreaker","Sticky Charm",0.10201390126537159,56110
"Iceberg","-","-","-","-","-","Icebreaker","Wax Charm",0.10139012653715915,56110
"Iceberg","-","-","-","-","-","Icebreaker","Wax Charm",0.11440677966101695,236
"Iceberg","-","-","-","-","-","Icebreaker","Sticky Charm",0.09322033898305085,236
"Iceberg","-","-","-","-","-","Icebreaker","Sticky Charm",0.09904611204824673,66989
"Iceberg","-","-","-","-","-","Icebreaker","Wax Charm",0.09943423547149532,66989
"Iceberg","-","-","-","-","-","Icebreaker","Sticky Charm",0.25,24
"Iceberg","-","-","-","-","-","Incompetent Ice Climber","Wax Charm",0.10162111728803017,25723
"Iceberg","-","-","-","-","-","Incompetent Ice Climber","Sticky Charm",0.10029934300042763,25723
"Iceberg","-","-","-","-","-","Incompetent Ice Climber","Sticky Charm",0.5,4
"Iceberg","-","-","-","-","-","Incompetent Ice Climber","Sticky Charm",0.2222222222222222,9
"Iceberg","-","-","-","-","-","Incompetent Ice Climber","Wax Charm",0.15384615384615385,13
"Iceberg","-","-","-","-","-","Living Salt","Sticky Charm",0.10638297872340426,2444
"Iceberg","-","-","-","-","-","Living Salt","Wax Charm",0.10147299509001637,2444
"Iceberg","-","-","-","-","-","Living Salt","Wax Charm",0.10467032967032967,3640
"Iceberg","-","-","-","-","-","Living Salt","Sticky Charm",0.09230769230769231,3640
"Iceberg","-","-","-","-","-","Living Salt","Sticky Charm",0.10494396835860251,7585
"Iceberg","-","-","-","-","-","Living Salt","Wax Charm",0.0995385629531971,7585
"Iceberg","-","-","-","-","-","Living Salt","Wax Charm",0.10716871832005793,4143
"Iceberg","-","-","-","-","-","Living Salt","Sticky Charm",0.10547912140960657,4143
"Iceberg","-","-","-","-","-","Mammoth","Wax Charm",0.16216216216216217,111
"Iceberg","-","-","-","-","-","Mammoth","Sticky Charm",0.02702702702702703,111
"Iceberg","-","-","-","-","-","Mammoth","Wax Charm",0.09612791369678289,15573
"Iceberg","-","-","-","-","-","Mammoth","Sticky Charm",0.0916971681756887,15573
"Iceberg","-","-","-","-","-","Polar Bear","Sticky Charm",0.10484628809236139,29796
"Iceberg","-","-","-","-","-","Polar Bear","Wax Charm",0.10034904013961606,29796
"Iceberg","-","-","-","-","-","Polar Bear","Wax Charm",0.103289655764771,104783
"Iceberg","-","-","-","-","-","Polar Bear","Sticky Charm",0.10233530248227289,104783
"Iceberg","-","-","-","-","-","Polar Bear","Wax Charm",0.17647058823529413,51
"Iceberg","-","-","-","-","-","Polar Bear","Sticky Charm",0.0392156862745098,51
"Iceberg","-","-","-","-","-","Saboteur","Wax Charm",0.14285714285714285,245
"Iceberg","-","-","-","-","-","Saboteur","Sticky Charm",0.09795918367346938,245
"Iceberg","-","-","-","-","-","Saboteur","Sticky Charm",0.10060305388865784,67324
"Iceberg","-","-","-","-","-","Saboteur","Wax Charm",0.10095953894599251,67324
"Iceberg","-","-","-","-","-","Snow Bowler","Sticky Charm",0.14285714285714285,112
"Iceberg","-","-","-","-","-","Snow Bowler","Wax Charm",0.08035714285714286,112
"Iceberg","-","-","-","-","-","Snow Bowler","Wax Charm",0.10761609907120744,16150
"Iceberg","-","-","-","-","-","Snow Bowler","Sticky Charm",0.10786377708978329,16150
"Iceberg","-","-","-","-","-","Snow Bowler","Sticky Charm",0.10696854663774404,29504
"Iceberg","-","-","-","-","-","Snow Bowler","Wax Charm",0.10344360086767895,29504
"Iceberg","-","-","-","-","-","Snow Bowler","Wax Charm",0.10493335985677342,10054
"Iceberg","-","-","-","-","-","Snow Bowler","Sticky Charm",0.09886612293614482,10054
"Iceberg","-","-","-","-","-","Snow Slinger","Sticky Charm",0.10441794281067895,29516
"Iceberg","-","-","-","-","-","Snow Slinger","Wax Charm",0.10025071147852012,29516
"Iceberg","-","-","-","-","-","Snow Slinger","Wax Charm",0.10645372708522081,103754
"Iceberg","-","-","-","-","-","Snow Slinger","Sticky Charm",0.10286832314898703,103754
"Iceberg","-","-","-","-","-","Snow Slinger","Wax Charm",0.10484705581102564,93727
"Iceberg","-","-","-","-","-","Snow Slinger","Sticky Charm",0.10307595463420359,93727
"Iceberg","-","-","-","-","-","Snow Slinger","Sticky Charm",0.21052631578947367,38
