"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Jungle of Dread","-","-","-","-","-","Chitinous","Fire Salt",1.0383248009101251,14064
"Jungle of Dread","-","-","-","-","-","Chitinous","Runic Potion",0.7007252559726962,14064
"Jungle of Dread","-","-","-","-","-","Fetid Swamp","Fire Salt",1.0816929133858268,14224
"Jungle of Dread","-","-","-","-","-","Fetid Swamp","Runic Potion",0.6994516310461192,14224
"Jungle of Dread","-","-","-","-","-","Jurassic","Fire Salt",1.052878317821441,14505
"Jungle of Dread","-","-","-","-","-","Jurassic","Runic Potion",1.043295415374009,14505
"Jungle of Dread","-","-","-","-","-","Magma Carrier","Fire Salt",1.0481931553599337,31353
"Jungle of Dread","-","-","-","-","-","Magma Carrier","Runic Potion",1.3943163333652282,31353
"Jungle of Dread","-","-","-","-","-","Primal","Fire Salt",1.073829472646624,30435
"Jungle of Dread","-","-","-","-","-","Primal","Runic Potion",0.6919993428618367,30435
"Jungle of Dread","-","-","-","-","-","Stonework Warrior","Fire Salt",1.0379530308969744,28061
"Jungle of Dread","-","-","-","-","-","Stonework Warrior","Runic Potion",0.6936317308720288,28061
"Jungle of Dread","-","-","-","-","-","Pygmy Wrangler","Vanilla Bean",3.00303387830777,5933
"Jungle of Dread","-","-","-","-","-","Pygmy Wrangler","Simple Orb",0.45255351424237317,5933
"Jungle of Dread","-","-","-","-","-","Pygmy Wrangler","Flawed Orb",0.10669138715658183,5933
"Jungle of Dread","-","-","-","-","-","Swarm of Pygmy Mice","Vanilla Bean",0.6561232126679009,126935
"Jungle of Dread","-","-","-","-","-","Swarm of Pygmy Mice","Flawed Orb",0.059754992712805766,126935
