"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Living Garden","-","-","-","-","-","Bark","Aleth Essence",0.7976878612716763,346
"Living Garden","-","-","-","-","-","Bark","Dewthief Petal",0.5028901734104047,346
"Living Garden","-","-","-","-","-","Calalilly","Aleth Essence",0.8231292517006803,294
"Living Garden","-","-","-","-","-","Calalilly","Dewthief Petal",0.9455782312925171,294
"Living Garden","-","-","-","-","-","Camoflower","Aleth Essence",0.6518518518518519,135
"Living Garden","-","-","-","-","-","Camoflower","Dewthief Petal",0.9111111111111111,135
"Living Garden","-","-","-","-","-","Shroom","Aleth Essence",1,318
"Living Garden","-","-","-","-","-","Shroom","Dewthief Petal",0.889937106918239,318
"Living Garden","-","-","-","-","-","Strawberry Hotcakes","Dewthief Petal",1.9666666666666666,210
"Living Garden","-","-","-","-","-","Thirsty","Cynd Essence",1,64
"Living Garden","-","-","-","-","-","Thirsty","Dewthief Petal",0.515625,64
"Living Garden","-","-","-","-","-","Thistle","Dewthief Petal",0.4583333333333333,432
"Living Garden","-","-","-","-","-","Thistle","Aleth Essence",0.32407407407407407,432
