Location,Phase,Trap,Base,Cheese,Charm,Mouse,Loot,Qty,Sample
Moussu Picchu,-,-,-,-,-,Breeze Borrower,Windy Potion,0.5,
Moussu Picchu,-,-,-,-,-,Cloud Collector,Rainy Potion,1,
Moussu Picchu,-,-,-,-,-,Cloud Collector,Fire Bowl Fuel,0.25,
Moussu Picchu,-,-,-,-,-,Homeopathic Apothecary,Windy Potion,1.5,
Moussu Picchu,-,-,-,-,-,Homeopathic Apothecary,Rainy Potion,1.5,
Moussu Picchu,-,-,-,-,-,Homeopathic Apothecary,Fire Bowl Fuel,2,
Moussu Picchu,-,-,-,-,-,Nightshade Flower Girl,Nightshade,1,
Moussu Picchu,-,-,-,-,-,Nightshade Maiden,Nightshade,1.5,
Moussu Picchu,-,-,-,-,-,Nightshade Maiden,Cavern Fungus,8,
Moussu Picchu,-,-,-,-,-,Rainwater Purifier,Rainy Potion,0.5,
Moussu Picchu,-,-,-,-,-,Spore Salesman,Cavern Fungus,4,
Moussu Picchu,-,-,-,-,-,Windy Farmer,Windy Potion,1,
Moussu Picchu,-,-,-,-,-,Windy Farmer,Fire Bowl Fuel,0.25,
Moussu Picchu,-,-,-,-,-,Rain Collector,Shadowvine,0.4545454545,
Moussu Picchu,-,-,-,-,-,Rain Wallower,Shadowvine,0.0769230769,
Moussu Picchu,-,-,-,-,-,Rain Summoner,Shadowvine,0.83,
Moussu Picchu,-,-,-,-,-,Monsoon Maker,Shadowvine,2,
Moussu Picchu,-,-,-,-,-,Rainmancer,Shadowvine,3.5,
Moussu Picchu,-,-,-,-,-,Rainmancer,Fire Bowl Fuel,0.3,
Moussu Picchu,-,-,-,-,-,Rainmancer,Dragonbane Charm,0.07,
Moussu Picchu,-,-,-,-,-,Charming Chimer,Arcanevine,0.45,
Moussu Picchu,-,-,-,-,-,Wind Watcher,Arcanevine,0.08,
Moussu Picchu,-,-,-,-,-,Fluttering Flutist,Arcanevine,0.83,
Moussu Picchu,-,-,-,-,-,Cycloness,Arcanevine,2,
Moussu Picchu,-,-,-,-,-,Wind Warrior,Arcanevine,3.5,
Moussu Picchu,-,-,-,-,-,Wind Warrior,Fire Bowl Fuel,0.3,
Moussu Picchu,-,-,-,-,-,Wind Warrior,Dragonbane Charm,0.07,
Moussu Picchu,-,-,-,-,-,Thunder Strike,Dragonscales,0.18,
Moussu Picchu,-,-,-,-,-,Violet Stormchild,Dragonscales,0.22,
Moussu Picchu,-,-,-,-,-,Thunderlord,Dragonscales,0.375,
Moussu Picchu,-,-,-,-,-,Thundering Watcher,Dragonscales,0.53,
Moussu Picchu,-,-,-,-,-,Dragoon,Dragonscales,2.62,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Dragonscales,4.5,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Ful'Mina's Tooth,0.01,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Arcanevine,0.04,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Shadowvine,0.04,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Cavern Fungus,0.38,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Nightshade,0.01,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Rainy Potion,0.02,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Windy Potion,0.02,
Moussu Picchu,-,-,-,-,-,Thunder Strike,Minerals,0.25,
Moussu Picchu,-,-,-,-,-,Violet Stormchild,Minerals,0.2,
Moussu Picchu,-,-,-,-,-,Thunderlord,Minerals,0.4,
Moussu Picchu,-,-,-,-,-,Thundering Watcher,Minerals,0.39,
Moussu Picchu,-,-,-,-,-,Dragoon,Minerals,3.43,
Moussu Picchu,-,-,-,-,-,Ful'Mina,Minerals,2.85,
