"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Mousoleum","-","-","-","-","-","Black Widow","Radioactive Blue Cheese",3.5297202797202796,572
"Mousoleum","-","-","-","-","-","Black Widow","SUPER|brie+",5.370629370629371,572
"Mousoleum","-","-","-","-","-","Black Widow","Ancient Relic",0.5594405594405595,572
"Mousoleum","-","-","-","-","-","Grave Robber","Rotten Charm",0.535759627592044,7089
"Mousoleum","-","-","-","-","-","Grave Robber","Radioactive Sludge",0.4790520524756665,7089
"Mousoleum","-","-","-","-","-","Grave Robber","Super Rotten Charm",0.2482719706587671,7089
"Mousoleum","-","-","-","-","-","Grave Robber","Unstable Charm",0.023134433629566936,7089
"Mousoleum","-","-","-","-","-","Monster","Living Shard",1.9778947368421054,1900
"Mousoleum","-","-","-","-","-","Monster","Cheddar Cheese",16.796315789473685,1900
"Mousoleum","-","-","-","-","-","Monster","Swiss Cheese",6.541052631578947,1900
"Mousoleum","-","-","-","-","-","Monster","Marble Cheese",7.742105263157895,1900
"Mousoleum","-","-","-","-","-","Monster","Brie Cheese",1.8273684210526315,1900
"Mousoleum","-","-","-","-","-","Monster","Greater Radioactive Blue Potion",0.21263157894736842,1900
"Mousoleum","-","-","-","-","-","Vampire","Greater Radioactive Blue Potion",0.17357493393733484,13245
"Mousoleum","-","-","-","-","-","Zombot Unipire","Radioactive Sludge",1.690441951874221,10431
