"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Muridae Market","-","-","-","-","-","Blacksmith","Papyrus",0.6896551724137931,261
"Muridae Market","-","-","-","-","-","Blacksmith","Scrap Metal",2.0114942528735633,261
"Muridae Market","-","-","-","-","-","Blacksmith","Simple Orb",0.735632183908046,261
"Muridae Market","-","-","-","-","-","Desert Architect","Limestone Brick",3.013215859030837,227
"Muridae Market","-","-","-","-","-","Desert Architect","Coconut Timber",2.66079295154185,227
"Muridae Market","-","-","-","-","-","Desert Architect","Shard of Glass",0.6211453744493393,227
"Muridae Market","-","-","-","-","-","Glass Blower","Shard of Glass",1.7246153846153847,650
"Muridae Market","-","-","-","-","-","Limestone Miner","Limestone Brick",8.009389671361502,852
"Muridae Market","-","-","-","-","-","Lumberjack","Coconut Timber",6.500672947510094,743
"Muridae Market","-","-","-","-","-","Mage Weaver","Simple Orb",4.052631578947368,247
"Muridae Market","-","-","-","-","-","Mage Weaver","Papyrus",0.7651821862348178,247
"Muridae Market","-","-","-","-","-","Mage Weaver","Flawless Orb",0.7368421052631579,247
"Muridae Market","-","-","-","-","-","Mage Weaver","Ionized Salt",0.9919028340080972,247
