"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Nerg Plains","-","-","-","-","-","Alnilam","Savoury Vegetables",0.7284877296136444,47961
"Nerg Plains","-","-","-","-","-","Beast Tamer","Savoury Vegetables",0.6353393309459341,57245
"Nerg Plains","-","-","-","-","-","Black Widow","SUPER|brie+",5.3961538461538465,260
"Nerg Plains","-","-","-","-","-","Black Widow","Ancient Relic",0.5269230769230769,260
"Nerg Plains","-","-","-","-","-","Caretaker","Savoury Vegetables",0.22702257373537651,30345
"Nerg Plains","-","-","-","-","-","Conjurer","Savoury Vegetables",0.9181070318995318,45706
"Nerg Plains","-","-","-","-","-","Conqueror","Savoury Vegetables",0.9162088836072557,44599
"Nerg Plains","-","-","-","-","-","Defender","Yellow Pepper Seed",1.0004597546480074,89178
"Nerg Plains","-","-","-","-","-","Finder","Savoury Vegetables",1.0699825209637808,45197
"Nerg Plains","-","-","-","-","-","Narrator","Savoury Vegetables",0.22588518816041525,32366
"Nerg Plains","-","-","-","-","-","Nerg Chieftain","Yellow Pepper Seed",2.04315379623621,18492
"Nerg Plains","-","-","-","-","-","Pathfinder","Savoury Vegetables",0.22095087788518444,30414
"Nerg Plains","-","-","-","-","-","Slayer","Yellow Pepper Seed",1.5050239753258958,41501
