"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Sand Crypts","-","-","-","-","-","King Grub","Lunaria Petal",2.619047619047619,21
"Sand Crypts","-","-","-","-","-","King Grub","Dol Essence",1,21
"Sand Crypts","-","-","-","-","-","King Grub","Est Essence",0.6190476190476191,21
"Sand Crypts","-","-","-","-","-","King Grub","Fel Essence",0.47619047619047616,21
"Sand Crypts","-","-","-","-","-","King Scarab","Ancient Relic",1,1
"Sand Crypts","-","-","-","-","-","Sand Colossus","Aleth Essence",0.873015873015873,126
"Sand Crypts","-","-","-","-","-","Sand Colossus","Lunaria Petal",0.2222222222222222,126
"Sand Crypts","-","-","-","-","-","Sarcophamouse","Aleth Essence",0.8914728682170543,129
"Sand Crypts","-","-","-","-","-","Sarcophamouse","Lunaria Petal",0.20930232558139536,129
"Sand Crypts","-","-","-","-","-","Scarab","Cynd Essence",0.5904761904761905,105
"Sand Crypts","-","-","-","-","-","Scarab","Lunaria Petal",0.3047619047619048,105
"Sand Crypts","-","-","-","-","-","Serpentine","Aleth Essence",0.8725490196078431,102
"Sand Crypts","-","-","-","-","-","Serpentine","Cynd Essence",0.5392156862745098,102
"Sand Crypts","-","-","-","-","-","Serpentine","Lunaria Petal",0.24509803921568626,102
