"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Slushy Shoreline","-","-","-","-","-","Chipper","War Scrap",0.6155323716620843,106204
"Slushy Shoreline","-","-","-","-","-","Icebreaker","Wire Spool",0.6666882235012611,46389
"Slushy Shoreline","-","-","-","-","-","Incompetent Ice Climber","War Scrap",0.45553436652252155,37231
"Slushy Shoreline","-","-","-","-","-","Living Ice","Heating Oil",0.3382738258183098,25571
"Slushy Shoreline","-","-","-","-","-","Living Ice","Wire Spool",0.33408939814633765,25571
"Slushy Shoreline","-","-","-","-","-","Living Ice","Frosty Metal",0.3276367760353526,25571
"Slushy Shoreline","-","-","-","-","-","Living Ice","Simple Orb",0.15181260021117673,25571
"Slushy Shoreline","-","-","-","-","-","Living Ice","Flawed Orb",0.30057486996988775,25571
"Slushy Shoreline","-","-","-","-","-","Polar Bear","War Scrap",0.5440468199856338,84921
"Slushy Shoreline","-","-","-","-","-","Saboteur","Heating Oil",0.6679509867610492,44641
"Slushy Shoreline","-","-","-","-","-","Snow Bowler","War Scrap",0.4363503025117643,49089
"Slushy Shoreline","-","-","-","-","-","Snow Slinger","War Scrap",0.8333203633089127,89951
"Slushy Shoreline","-","-","-","-","-","Snow Sniper","War Scrap",0.8291258182729351,63854
"Slushy Shoreline","-","-","-","-","-","Snow Soldier","War Scrap",0.5449412934381214,84488
"Slushy Shoreline","-","-","-","-","-","Yeti","Frosty Metal",0.6655177696078431,39168
"Slushy Shoreline","-","-","-","-","-","Yeti","Flawed Orb",0.22691993464052287,39168
