"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"S.S. Huntington III","-","-","-","-","-","Cook","Ancient Relic",0.7244191794364805,8092
"S.S. Huntington III","-","-","-","-","-","Hydra","Simple Orb",0.983052096381991,27142
"S.S. Huntington III","-","-","-","-","-","Hydra","Scrap Metal",1.6369095866185248,27142
"S.S. Huntington III","-","-","-","-","-","Hydra","Bolt of Cloth",0.4620882764718886,27142
"S.S. Huntington III","-","-","-","-","-","Hydra","Splintered Wood",3.2205806499152603,27142
"S.S. Huntington III","-","-","-","-","-","Hydra","Rope",0.44749834205290695,27142
"S.S. Huntington III","-","-","-","-","-","Leviathan","Simple Orb",1.3214394529266393,29539
"S.S. Huntington III","-","-","-","-","-","Leviathan","Ancient Relic",0.038796167778191545,29539
"S.S. Huntington III","-","-","-","-","-","Nibbler","Ancient Relic",0.24427591188154568,13845
"S.S. Huntington III","-","-","-","-","-","Shelder","Ancient Relic",0.8073170731707318,2050
"S.S. Huntington III","-","-","-","-","-","Shipwrecked","Flawless Orb",0.35434719395173014,68780
"S.S. Huntington III","-","-","-","-","-","Squeaken","Simple Orb",1.3244887780548629,30075
"S.S. Huntington III","-","-","-","-","-","Squeaken","Ancient Relic",0.03767248545303408,30075
