"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Sunken City","-","-","-","-","-","Coral","Damaged Coral Fragment",12,168
"Sunken City","-","-","-","-","-","Coral Cuddler","Damaged Coral Fragment",6.206896551724138,87
"Sunken City","-","-","-","-","-","Coral Dragon","Damaged Coral Fragment",10.003649635036496,274
"Sunken City","-","-","-","-","-","Coral Gardener","Damaged Coral Fragment",5.8957654723127035,307
"Sunken City","-","-","-","-","-","Coral Guard","Damaged Coral Fragment",9.605095541401274,157
"Sunken City","-","-","-","-","-","Coral Harvester","Damaged Coral Fragment",5.642857142857143,84
"Sunken City","-","-","-","-","-","Coral Queen","Damaged Coral Fragment",11.941176470588236,119
"Sunken City","-","-","-","-","-","Seadragon","Damaged Coral Fragment",8.03888888888889,180
"Sunken City","-","-","-","-","-","Turret Guard","Damaged Coral Fragment",11.662983425414364,181
"Sunken City","-","-","-","-","-","Angelfish","Damaged Coral Fragment",1.601410934744268,567
"Sunken City","-","-","-","-","-","Betta","Mouse Scale",1.6531365313653137,542
"Sunken City","-","-","-","-","-","Cuttle","Damaged Coral Fragment",1.5754189944134078,358
"Sunken City","-","-","-","-","-","Jellyfish","Damaged Coral Fragment",1.2307692307692308,546
"Sunken City","-","-","-","-","-","Koimaid","Mouse Scale",1.1781437125748504,668
"Sunken City","-","-","-","-","-","Mlounder Flounder","Mouse Scale",0.7096774193548387,155
"Sunken City","-","-","-","-","-","Mlounder Flounder","Damaged Coral Fragment",0.6129032258064516,155
"Sunken City","-","-","-","-","-","Puffer","Mouse Scale",1.6753246753246753,308
"Sunken City","-","-","-","-","-","Ancient of the Deep","Brined Curd",28.352941176470587,238
"Sunken City","-","-","-","-","-","Barracuda","Brined Curd",1.125,32
"Sunken City","-","-","-","-","-","Carnivore","Brined Curd",6.15438596491228,285
"Sunken City","-","-","-","-","-","Derpshark","Brined Curd",4.1063829787234045,47
"Sunken City","-","-","-","-","-","Serpent Monster","Brined Curd",12.057142857142857,280
"Sunken City","-","-","-","-","-","Spear Fisher","Brined Curd",1.6619718309859155,71
"Sunken City","-","-","-","-","-","Tritus","Brined Curd",17.5,94
"Sunken City","-","-","-","-","-","Angler","Mouse Scale",9.821656050955413,157
"Sunken City","-","-","-","-","-","Guppy","Mouse Scale",8.115384615384615,156
"Sunken City","-","-","-","-","-","Mermousette","Mouse Scale",5.5,80
"Sunken City","-","-","-","-","-","Mershark","Mouse Scale",9.992395437262358,263
"Sunken City","-","-","-","-","-","Octomermaid","Mouse Scale",6.0647482014388485,278
"Sunken City","-","-","-","-","-","Old One","Mouse Scale",11.714285714285714,182
"Sunken City","-","-","-","-","-","School of Mish","Mouse Scale",6.268656716417911,67
"Sunken City","-","-","-","-","-","Tadpole","Mouse Scale",12,112
"Sunken City","-","-","-","-","-","Urchin King","Mouse Scale",11.854961832061068,131
"Sunken City","-","-","-","-","-","Pearl","Mouse Scale",5.637362637362638,637
"Sunken City","-","-","-","-","-","Pearl","Damaged Coral Fragment",5.5133437990580845,637
"Sunken City","-","-","-","-","-","Pearl Diver","Damaged Coral Fragment",4.724537037037037,432
"Sunken City","-","-","-","-","-","Pearl Diver","Mouse Scale",4.6157407407407405,432
"Sunken City","-","-","-","-","-","Saltwater Axolotl","Damaged Coral Fragment",6.196969696969697,132
"Sunken City","-","-","-","-","-","Saltwater Axolotl","Mouse Scale",5.704545454545454,132
"Sunken City","-","-","-","-","-","Sand Dollar Diver","Mouse Scale",4.78494623655914,93
"Sunken City","-","-","-","-","-","Sand Dollar Diver","Damaged Coral Fragment",4.881720430107527,93
"Sunken City","-","-","-","-","-","Sand Dollar Queen","Damaged Coral Fragment",6.275862068965517,203
"Sunken City","-","-","-","-","-","Sand Dollar Queen","Mouse Scale",6.241379310344827,203
"Sunken City","-","-","-","-","-","Treasure Hoarder","Mouse Scale",6.659655831739962,523
"Sunken City","-","-","-","-","-","Treasure Hoarder","Damaged Coral Fragment",6.634799235181644,523
"Sunken City","-","-","-","-","-","Treasure Keeper","Damaged Coral Fragment",7.561855670103093,194
"Sunken City","-","-","-","-","-","Treasure Keeper","Mouse Scale",7.201030927835052,194
