"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Town of Digby","-","-","-","-","-","Black Widow","SUPER|brie+",5.383333333333334,60
"Town of Digby","-","-","-","-","-","Black Widow","Ancient Relic",0.5833333333333334,60
"Town of Digby","-","-","-","-","-","Diamond","Simple Orb",0.4809069212410501,3352
"Town of Digby","-","-","-","-","-","Gold","Simple Orb",0.46754038402925935,3281
"Town of Digby","-","-","-","-","-","Granite","Meteorite Piece",0.3850127145581691,12584
"Town of Digby","-","-","-","-","-","Mole","Ancient Relic",0.1297539149888143,447
"Town of Digby","-","-","-","-","-","Mole","Marble Cheese",0.0894854586129754,447
"Town of Digby","-","-","-","-","-","Nibbler","Ancient Relic",0.19047619047619047,147
"Town of Digby","-","-","-","-","-","Itty-Bitty Burroughs","Living Shard",0.6600646066499168,30647
"Town of Digby","-","-","-","-","-","Lambent Crystal","Living Shard",0.6513951236686911,22722
"Town of Digby","-","-","-","-","-","Subterranean","Living Shard",1.5434452377335561,13166
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Living Shard",2.837515489467162,6456
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Limelight Cheese",0.5978934324659232,6456
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Scrap Metal",0.44191449814126393,6456
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Meteorite Piece",0.7143742255266419,6456
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Ancient Relic",0.2255266418835192,6456
"Town of Digby","-","-","-","-","-","Big Bad Burroughs","Coal",0.08441759603469641,6456
"Town of Digby","-","-","-","-","-","Nugget","Ancient Relic",0.5648099947943779,1921
"Town of Digby","-","-","-","-","-","Nugget","Scrap Metal",0.13118167621030713,1921
"Town of Digby","-","-","-","-","-","Nugget","Onyx Stone",0.034877667881311816,1921
