"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Twisted Garden","-","-","-","-","-","Barkshell","Graveblossom Petal",1.0106382978723405,94
"Twisted Garden","-","-","-","-","-","Barkshell","Aleth Essence",0.46808510638297873,94
"Twisted Garden","-","-","-","-","-","Camofusion","Graveblossom Petal",1.4864864864864864,222
"Twisted Garden","-","-","-","-","-","Dehydrated","Cynd Essence",1,26
"Twisted Garden","-","-","-","-","-","Dehydrated","Graveblossom Petal",1.2692307692307692,26
"Twisted Garden","-","-","-","-","-","Dehydrated","Dol Essence",0.46153846153846156,26
"Twisted Garden","-","-","-","-","-","Fungal Spore","Graveblossom Petal",1.064516129032258,248
"Twisted Garden","-","-","-","-","-","Thorn","Graveblossom Petal",1.1504424778761062,113
"Twisted Garden","-","-","-","-","-","Thorn","Aleth Essence",0.3008849557522124,113
"Twisted Garden","-","-","-","-","-","Twisted Hotcakes","Graveblossom Petal",2.3508771929824563,57
"Twisted Garden","-","-","-","-","-","Twisted Hotcakes","Cynd Essence",0.40350877192982454,57
"Twisted Garden","-","-","-","-","-","Twisted Hotcakes","Dol Essence",0.40350877192982454,57
"Twisted Garden","-","-","-","-","-","Twisted Lilly","Graveblossom Petal",1.0204081632653061,98
