"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Whisker Woods Rift","-","-","-","-","-","Cherry Sprite","Simple Orb",0.15609756097560976,205
"Whisker Woods Rift","-","-","-","-","-","Cherry Sprite","Flawless Orb",0.06341463414634146,205
"Whisker Woods Rift","-","-","-","-","-","Red-Eyed Watcher Owl","Simple Orb",0.04878048780487805,328
"Whisker Woods Rift","-","-","-","-","-","Spirit Fox","Simple Orb",0.019867549668874173,302
"Whisker Woods Rift","-","-","-","-","-","Treant Queen","Simple Orb",0.03343465045592705,329
"Whisker Woods Rift","-","-","-","-","-","Naturalist","Simple Orb",0.16363636363636364,165
"Whisker Woods Rift","-","-","-","-","-","Naturalist","Flawless Orb",0.03636363636363636,165
"Whisker Woods Rift","-","-","-","-","-","Nomadic Warrior","Simple Orb",0.026717557251908396,262
"Whisker Woods Rift","-","-","-","-","-","Red Coat Bear","Simple Orb",0.04411764705882353,272
"Whisker Woods Rift","-","-","-","-","-","Rift Tiger","Simple Orb",0.0398406374501992,251
"Whisker Woods Rift","-","-","-","-","-","Grizzled Silth","Simple Orb",0.11979166666666667,192
"Whisker Woods Rift","-","-","-","-","-","Grizzled Silth","Flawless Orb",0.057291666666666664,192
"Whisker Woods Rift","-","-","-","-","-","Medicine","Simple Orb",0.033003300330033,303
"Whisker Woods Rift","-","-","-","-","-","Tree Troll","Simple Orb",0.031496062992125984,254
"Whisker Woods Rift","-","-","-","-","-","Winged Harpy","Simple Orb",0.041044776119402986,268
"Whisker Woods Rift","-","-","-","-","-","Centaur Ranger","Creamy Gnarled Sap",1,66
"Whisker Woods Rift","-","-","-","-","-","Centaur Ranger","Ancient Relic",0.09090909090909091,66
"Whisker Woods Rift","-","-","-","-","-","Centaur Ranger","Flawless Orb",0.045454545454545456,66
"Whisker Woods Rift","-","-","-","-","-","Centaur Ranger","Divine Orb",0.045454545454545456,66
"Whisker Woods Rift","-","-","-","-","-","Cyclops Barbarian","Tasty Spider Mould",1,85
"Whisker Woods Rift","-","-","-","-","-","Cyclops Barbarian","Divine Orb",0.12941176470588237,85
"Whisker Woods Rift","-","-","-","-","-","Cyclops Barbarian","Ancient Relic",0.047058823529411764,85
"Whisker Woods Rift","-","-","-","-","-","Cyclops Barbarian","Flawless Orb",0.03529411764705882,85
"Whisker Woods Rift","-","-","-","-","-","Tri-dra","Ancient Relic",0.07792207792207792,77
"Whisker Woods Rift","-","-","-","-","-","Tri-dra","Divine Orb",0.05194805194805195,77
"Whisker Woods Rift","-","-","-","-","-","Tri-dra","Flawless Orb",0.012987012987012988,77
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Simple Orb",0.24571428571428572,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Divine Orb",0.11428571428571428,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Flawless Orb",0.10857142857142857,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Magical String Cheese",0.06285714285714286,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Brie String Cheese",0.017142857142857144,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Stagnant Charm",0.017142857142857144,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Gnarled Charm",0.017142857142857144,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Cherry Charm",0.011428571428571429,175
"Whisker Woods Rift","-","-","-","-","-","Gilded Leaf","Swiss String Cheese",0.011428571428571429,175
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Divine Orb",1.3333333333333333,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Ancient Relic",1,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Widow's Web",1.5666666666666667,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Widow's Web",1.5806451612903225,31
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Divine Orb",1.3548387096774193,31
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Ancient Relic",1,31
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Rift Ultimate Power Charm",1.4333333333333333,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Rift Ultimate Luck Charm",0.8333333333333334,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Rope",0.4,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Super Rotten Charm",0.4,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Bolt of Cloth",0.23333333333333334,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Radioactive Sludge",6.266666666666667,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Super Power Charm",0.7666666666666667,30
"Whisker Woods Rift","-","-","-","-","-","Monstrous Black Widow","Greater Wicked Gnarly Potion",0.03333333333333333,30
