"Location","Phase","Trap","Base","Cheese","Charm","Mouse","Loot","Qty","Sample"
"Zokor","-","-","-","-","-","Reanimated Carver","Lantern Oil",3.2481117824773413,2648
"Zokor","-","-","-","-","-","Reanimated Carver","Divine Orb",0.03134441087613293,2648
"Zokor","-","-","-","-","-","Mush Monster","Cavern Fungus",6.6468378209142145,1597
"Zokor","-","-","-","-","-","Mushroom Harvester","Cavern Fungus",2.3043478260869565,69
"Zokor","-","-","-","-","-","Nightshade Fungalmancer","Nightshade",2.8007181328545783,1114
"Zokor","-","-","-","-","Nightshade Farming Charm","Nightshade Fungalmancer","Nightshade",3.734290843806104,1114
"Zokor","-","-","-","-","Super Nightshade Farming Charm","Nightshade Fungalmancer","Nightshade",3.8007181328545783,1114
"Zokor","-","-","-","-","-","Nightshade Fungalmancer","Cavern Fungus",5.121184919210054,1114
"Zokor","-","-","-","-","-","Nightshade Nanny","Nightshade",2.7857142857142856,644
"Zokor","-","-","-","-","Nightshade Farming Charm","Nightshade Nanny","Nightshade",3.7142857142857144,644
"Zokor","-","-","-","-","Super Nightshade Farming Charm","Nightshade Nanny","Nightshade",3.7857142857142856,644
"Zokor","-","-","-","-","-","Nightshade Nanny","Cavern Fungus",2.329192546583851,644
"Zokor","-","-","-","-","-","Battle Cleric","Plate of Fealty",2.4026162790697674,2064
"Zokor","-","-","-","-","-","Dark Templar","Plate of Fealty",2.884514435695538,381
"Zokor","-","-","-","-","-","Drudge","Plate of Fealty",0.9262295081967213,122
"Zokor","-","-","-","-","-","Masked Pikeman","Plate of Fealty",0.9150943396226415,106
"Zokor","-","-","-","-","-","Mind Tearer","Plate of Fealty",3.918864097363083,493
"Zokor","-","-","-","-","-","Paladin Weapon Master","Infused Plate",0.9827586206896551,116
"Zokor","-","-","-","-","-","Paladin Weapon Master","Plate of Fealty",14.5,116
"Zokor","-","-","-","-","-","Paladin Weapon Master","Ancient Relic",0.13793103448275862,116
"Zokor","-","-","-","-","-","Sir Fleekio","Plate of Fealty",7.693142857142857,1750
"Zokor","-","-","-","-","-","Sir Fleekio","Simple Orb",0.23885714285714285,1750
"Zokor","-","-","-","-","-","Sir Fleekio","Flawed Orb",0.22114285714285714,1750
"Zokor","-","-","-","-","-","Sir Fleekio","Flawless Orb",0.11828571428571429,1750
"Zokor","-","-","-","-","-","Sir Fleekio","Divine Orb",0.018857142857142857,1750
"Zokor","-","-","-","-","-","Solemn Soldier","Plate of Fealty",0.9743589743589743,273
"Zokor","-","-","-","-","-","Ancient Scribe","Scholar Scroll",7.478048780487805,1640
"Zokor","-","-","-","-","-","Ancient Scribe","Simple Orb",0.2573170731707317,1640
"Zokor","-","-","-","-","-","Ancient Scribe","Flawed Orb",0.23414634146341465,1640
"Zokor","-","-","-","-","-","Ancient Scribe","Flawless Orb",0.11463414634146342,1640
"Zokor","-","-","-","-","-","Ancient Scribe","Divine Orb",0.03048780487804878,1640
"Zokor","-","-","-","-","-","Ethereal Guardian","Scholar Scroll",2.363824289405685,1935
"Zokor","-","-","-","-","-","Mystic Guardian","Scholar Scroll",0.9458333333333333,240
"Zokor","-","-","-","-","-","Mystic Herald","Scholar Scroll",3.732038834951456,515
"Zokor","-","-","-","-","-","Mystic Scholar","Scholar Scroll",2.82967032967033,364
"Zokor","-","-","-","-","-","Sanguinarian","Scholar Scroll",0.9294117647058824,85
"Zokor","-","-","-","-","-","Soul Binder","Scholar Scroll",14.78448275862069,116
"Zokor","-","-","-","-","-","Soul Binder","Ancient Relic",0.09482758620689655,116
"Zokor","-","-","-","-","-","Summoning Scholar","Scholar Scroll",0.9207920792079208,101
"Zokor","-","-","-","-","-","Ash Golem","Tech Power Core",0.8372093023255814,86
"Zokor","-","-","-","-","-","Automated Stone Sentry","Tech Power Core",3.803992740471869,551
"Zokor","-","-","-","-","-","Exo-Tech","Tech Power Core",2.4179580674567003,2194
"Zokor","-","-","-","-","-","Fungal Technomorph","Tech Power Core",2.3606965174129355,402
"Zokor","-","-","-","-","-","Manaforge Smith","Tech Power Core",13.93006993006993,143
"Zokor","-","-","-","-","-","Manaforge Smith","Ancient Relic",0.18181818181818182,143
"Zokor","-","-","-","-","-","Matron of Machinery","Tech Power Core",7.742825607064018,1812
"Zokor","-","-","-","-","-","Matron of Machinery","Simple Orb",0.25496688741721857,1812
