Mouse,Power,Arcane,Draconic,Forgotten,Hydro,Parental,Physical,Shadow,Tactical,Law,Rift
Abominable Snow,1900,100,0,100,100,0,100,100,100,100,0
Absolute Acolyte,54000,0,0,0,0,0,0,0,0,0,2500
Acolyte,18000,25,0,175,0,0,0,25,0,0,0
Admiral Arrrgh,1800,101,101,101,101,101,101,101,101,101,300
Admiral Cloudbeard,81690,500,500,500,500,0,500,500,500,500,0
Aether,9800,0,0,0,0,0,125,0,275,0,0
Aged,9000,0,0,0,0,0,175,0,0,0,0
Agent M,38885,0,0,0,0,0,0,0,0,300,0
Agitated Gentle Giant,1000,10,10,10,10,0,10,10,10,10,100
Alchemist,1930,0,0,0,175,0,100,0,100,0,0
Alnilam,5500,0,0,0,0,0,0,0,175,0,0
Alnitak,6150,0,0,0,175,0,0,0,0,0,0
Alpha Weremouse,13650,100,0,0,0,0,0,150,0,0,0
Amplified Brown,750,10,10,10,10,0,10,10,10,10,100
Amplified Grey,750,10,10,10,10,0,10,10,10,10,100
Amplified White,750,10,10,10,10,0,10,10,10,10,100
Ancient of the Deep,37999,0,0,0,100,0,0,0,0,0,0
Ancient Scribe,16700,100,0,300,0,0,0,0,0,0,0
Angelfish,4960,0,0,0,100,0,0,0,0,0,0
Angler,8709,0,0,0,100,0,0,0,0,0,0
Angry Aphid,10000,0,0,0,0,0,0,0,100,0,0
Angry Train Staff,3499,0,0,0,0,0,0,0,0,200,0
Aquos,4600,100,100,100,100,25,75,400,75,0,0
Arcane Summoner,14300,150,0,0,0,0,0,100,0,0,0
Arch Champion Necromancer,72000,0,0,0,0,0,0,0,0,0,900
Archer,1500,0,0,0,0,0,100,0,175,0,0
Architeuthulhu of the Abyss,100000,0,0,0,400,0,0,0,0,0,0
Aristo-Cat Burglar,14590,0,0,0,0,0,0,0,0,600,0
Armored Archer,2590,0,0,0,0,0,0,0,0,0,100
Artillery Commander,21065,100,0,0,50,0,50,0,50,0,0
Ascended Elder,375015,0,0,0,0,0,0,0,0,0,350
Ash Golem,13601,100,0,300,0,0,0,0,0,0,0
Assassin,13175,0,0,0,0,0,100,0,175,0,0
Assassin Beast,14999,10,10,10,10,0,10,10,10,10,100
Astrological Astronomer,11825,0,0,0,0,0,0,100,0,0,0
Automated Sentry,950,10,10,10,10,0,10,10,10,10,100
Automated Stone Sentry,20250,100,0,300,0,0,0,0,0,0,0
Automorat,3751,0,0,0,0,0,0,0,0,200,0
Baba Gaga,3750,101,101,101,101,101,101,101,101,101,300
Balack the Banished,62000,50,0,200,0,0,0,25,0,0,0
Bandit,100,25,25,25,25,25,200,25,100,100,0
Bark,5000,0,0,0,100,0,0,0,0,0,0
Barkshell,8000,0,0,0,100,0,0,0,0,0,0
Barmy Gunner,275,100,100,100,175,0,100,100,100,100,0
Barnacle Beautician,5400,0,0,0,100,0,0,0,0,0,0
Barracuda,8600,0,0,0,100,0,0,0,0,0,0
Bartender,2250,0,0,0,0,0,0,0,0,200,0
Bat,515,100,0,100,0,0,100,200,25,0,0
Battering Ram,60000,25,0,0,0,0,0,25,0,0,0
Battle Cleric,10851,100,0,300,0,0,0,0,0,0,0
Beachcomber,8000,0,0,0,100,0,0,0,0,0,0
Bear,700,100,0,0,100,0,100,100,175,100,0
Bearded Elder,7825,0,100,0,0,0,0,0,0,0,0
Beast Tamer,3000,0,0,0,0,0,0,0,175,0,0
