"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bristle Woods Rift","Acolyte","Runic String","-","32.32%","Portal Paladin",6331
"Bristle Woods Rift","Acolyte","Runic String","-","15.81%","Skeletal Champion",6331
"Bristle Woods Rift","Acolyte","Runic String","-","15.48%","Dread Knight",6331
"Bristle Woods Rift","Acolyte","Runic String","-","10.66%","Absolute Acolyte",6331
"Bristle Woods Rift","Acolyte","Runic String","-","6.97%","Vigilant Ward",6331
"Bristle Woods Rift","Acolyte","Runic String","-","4.83%","Timelost Thaumaturge",6331
"Bristle Woods Rift","Acolyte","Runic String","-","3.95%","Timeslither Pythoness",6331
"Bristle Woods Rift","Acolyte","Runic String","-","3.63%","Shackled Servant",6331
"Bristle Woods Rift","Acolyte","Runic String","-","2.39%","Carrion Medium",6331
"Bristle Woods Rift","Acolyte","Runic String","-","2.24%","Harbinger of Death",6331
"Bristle Woods Rift","Acolyte","Runic String","-","1.52%","Timeless Lich",6331
"Bristle Woods Rift","Acolyte","Runic String","-","0.21%","Chronomaster",6331
"Bristle Woods Rift","Ancient Lab","Runic String","-","35.40%","Epoch Golem",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","20.34%","Chamber Cleaver",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","14.37%","Portal Plunderer",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","12.18%","Dread Knight",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","8.74%","Portal Paladin",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","4.37%","Skeletal Champion",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","2.53%","Clockwork Timespinner",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","1.26%","Sentient Slime",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.46%","Record Keeper",870
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.34%","Record Keeper's Assistant",870
"Bristle Woods Rift","Entrance","Runic String","-","78.66%","Vigilant Ward",239
"Bristle Woods Rift","Entrance","Runic String","-","10.88%","Portal Paladin",239
"Bristle Woods Rift","Entrance","Runic String","-","4.18%","Skeletal Champion",239
"Bristle Woods Rift","Entrance","Runic String","-","3.35%","Portal Plunderer",239
"Bristle Woods Rift","Entrance","Runic String","-","2.93%","Epoch Golem",239
"Bristle Woods Rift","Frozen Alcove","Runic String","-","52.21%","Sentient Slime",1515
"Bristle Woods Rift","Frozen Alcove","Runic String","-","35.91%","Dread Knight",1515
"Bristle Woods Rift","Frozen Alcove","Runic String","-","11.49%","Portal Paladin",1515
"Bristle Woods Rift","Frozen Alcove","Runic String","-","0.40%","Harbinger of Death",1515
"Bristle Woods Rift","Gearworks","Runic String","-","40.29%","Dread Knight",1246
"Bristle Woods Rift","Gearworks","Runic String","-","20.55%","Chamber Cleaver",1246
"Bristle Woods Rift","Gearworks","Runic String","-","11.24%","Portal Plunderer",1246
"Bristle Woods Rift","Gearworks","Runic String","-","8.91%","Portal Paladin",1246
"Bristle Woods Rift","Gearworks","Runic String","-","8.19%","Skeletal Champion",1246
"Bristle Woods Rift","Gearworks","Runic String","-","4.09%","Clockwork Timespinner",1246
"Bristle Woods Rift","Gearworks","Runic String","-","3.61%","Sentient Slime",1246
"Bristle Woods Rift","Gearworks","Runic String","-","1.85%","Record Keeper",1246
"Bristle Woods Rift","Gearworks","Runic String","-","0.96%","Record Keeper's Assistant",1246
"Bristle Woods Rift","Gearworks","Runic String","-","0.16%","Harbinger of Death",1246
"Bristle Woods Rift","Gearworks","Runic String","-","0.08%","Vigilant Ward",1246
"Bristle Woods Rift","Gearworks","Runic String","-","0.08%","Absolute Acolyte",1246
"Bristle Woods Rift","Guard Barracks","Runic String","-","65.52%","Portal Paladin",3512
"Bristle Woods Rift","Guard Barracks","Runic String","-","19.05%","Dread Knight",3512
"Bristle Woods Rift","Guard Barracks","Runic String","-","12.53%","Epoch Golem",3512
"Bristle Woods Rift","Guard Barracks","Runic String","-","1.79%","Clockwork Timespinner",3512
"Bristle Woods Rift","Guard Barracks","Runic String","-","1.11%","Sentient Slime",3512
"Bristle Woods Rift","Hidden Treasury","Runic String","-","24.35%","Timeslither Pythoness",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","18.08%","Timeless Lich",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","11.07%","Portal Paladin",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","10.33%","Epoch Golem",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","8.12%","Portal Plunderer",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","7.38%","Skeletal Champion",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","5.90%","Shackled Servant",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","5.17%","Dread Knight",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","4.80%","Harbinger of Death",271
"Bristle Woods Rift","Hidden Treasury","Runic String","-","4.80%","Carrion Medium",271
"Bristle Woods Rift","Ingress","Runic String","-","22.17%","Sentient Slime",794
"Bristle Woods Rift","Ingress","Runic String","-","20.03%","Dread Knight",794
"Bristle Woods Rift","Ingress","Runic String","-","19.40%","Clockwork Timespinner",794
"Bristle Woods Rift","Ingress","Runic String","-","16.37%","Portal Pursuer",794
"Bristle Woods Rift","Ingress","Runic String","-","11.08%","Vigilant Ward",794
"Bristle Woods Rift","Ingress","Runic String","-","10.08%","Shackled Servant",794
"Bristle Woods Rift","Ingress","Runic String","-","0.88%","Harbinger of Death",794
"Bristle Woods Rift","Lucky Tower","Runic String","-","24.59%","Epoch Golem",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","15.95%","Portal Plunderer",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","11.08%","Portal Paladin",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","10.54%","Dread Knight",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","9.73%","Clockwork Timespinner",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","9.46%","Record Keeper's Assistant",370
"Bristle Woods Rift","Lucky Tower","Runic String","-","8.92%","Record Keeper",370
