"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Acolyte Realm","-","Runic","-","19.41%","Golem",175608
"Acolyte Realm","-","Runic","-","18.49%","Gorgon",175608
"Acolyte Realm","-","Runic","-","17.62%","Spectre",175608
"Acolyte Realm","-","Runic","-","16.34%","Sorcerer",175608
"Acolyte Realm","-","Runic","-","8.29%","Acolyte",175608
"Acolyte Realm","-","Runic","-","8.20%","Lich",175608
"Acolyte Realm","-","Runic","-","8.17%","Wight",175608
"Acolyte Realm","-","Runic","-","2.01%","Chrono",175608
"Acolyte Realm","-","Runic","-","1.47%","Gate Guardian",175608
"Acolyte Realm","-","Ancient","-","26.89%","Golem",21693
"Acolyte Realm","-","Ancient","-","24.91%","Spectre",21693
"Acolyte Realm","-","Ancient","-","20.22%","Gorgon",21693
"Acolyte Realm","-","Ancient","-","20.07%","Sorcerer",21693
"Acolyte Realm","-","Ancient","-","7.91%","Gate Guardian",21693
"Acolyte Realm","-","Radioactive Blue","-","33.65%","Golem",14682
"Acolyte Realm","-","Radioactive Blue","-","32.69%","Gate Guardian",14682
"Acolyte Realm","-","Radioactive Blue","-","13.53%","Mutated Grey",14682
"Acolyte Realm","-","Radioactive Blue","-","12.95%","Mutated White",14682
"Acolyte Realm","-","Radioactive Blue","-","6.85%","Mutated Brown",14682
"Acolyte Realm","-","Radioactive Blue","-","0.33%","Black Widow",14682
