"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bountiful Beanstalk","Beanstalk","Gouda","-","50.57%","Budrich Thornborn",12530
"Bountiful Beanstalk","Beanstalk","Gouda","-","49.43%","Leafton Beanwell",12530
"Bountiful Beanstalk","Beanstalk","SB+","-","50.28%","Budrich Thornborn",4455
"Bountiful Beanstalk","Beanstalk","SB+","-","49.72%","Leafton Beanwell",4455
"Bountiful Beanstalk","Beanstalk Boss","Gouda","-","100.00%","Vinneus Stalkhome",959
"Bountiful Beanstalk","Beanstalk Boss","SB+","-","100.00%","Vinneus Stalkhome",323
"Bountiful Beanstalk","Dungeon","Gouda","-","40.44%","Smug Smuggler",5494
"Bountiful Beanstalk","Dungeon","Gouda","-","34.56%","Diminutive Detainee",5494
"Bountiful Beanstalk","Dungeon","Gouda","-","24.99%","Peaceful Prisoner",5494
"Bountiful Beanstalk","Dungeon","SB+","-","39.16%","Smug Smuggler",2750
"Bountiful Beanstalk","Dungeon","SB+","-","33.96%","Diminutive Detainee",2750
"Bountiful Beanstalk","Dungeon","SB+","-","26.87%","Peaceful Prisoner",2750
"Bountiful Beanstalk","Dungeon","Beanster","-","44.85%","Jovial Jailor",11411
"Bountiful Beanstalk","Dungeon","Beanster","-","30.50%","Cell Sweeper",11411
"Bountiful Beanstalk","Dungeon","Beanster","-","24.65%","Lethargic Guard",11411
"Bountiful Beanstalk","Dungeon","Lavish Beanster","-","51.05%","Gate Keeper",8560
"Bountiful Beanstalk","Dungeon","Lavish Beanster","-","48.95%","Key Master",8560
"Bountiful Beanstalk","Dungeon","Royal Beanster","-","100.00%","Wrathful Warden",1644
"Bountiful Beanstalk","Ballroom","Gouda","-","40.43%","Baroque Dancer",8174
"Bountiful Beanstalk","Ballroom","Gouda","-","33.79%","Sassy Salsa Dancer",8174
"Bountiful Beanstalk","Ballroom","Gouda","-","25.78%","Whimsical Waltzer",8174
"Bountiful Beanstalk","Ballroom","SB+","-","38.15%","Baroque Dancer",3067
"Bountiful Beanstalk","Ballroom","SB+","-","35.70%","Sassy Salsa Dancer",3067
"Bountiful Beanstalk","Ballroom","SB+","-","26.15%","Whimsical Waltzer",3067
"Bountiful Beanstalk","Ballroom","Beanster","-","39.50%","Peevish Piccoloist",7551
"Bountiful Beanstalk","Ballroom","Beanster","-","30.76%","Obstinate Oboist",7551
"Bountiful Beanstalk","Ballroom","Beanster","-","29.73%","Sultry Saxophonist",7551
"Bountiful Beanstalk","Ballroom","Lavish Beanster","-","50.11%","Violent Violinist",10782
"Bountiful Beanstalk","Ballroom","Lavish Beanster","-","49.89%","Chafed Cellist",10782
"Bountiful Beanstalk","Ballroom","Royal Beanster","-","100.00%","Treacherous Tubaist",5272
"Bountiful Beanstalk","Great Hall","SB+","-","41.63%","Plotting Page",209
"Bountiful Beanstalk","Great Hall","SB+","-","32.06%","Scheming Squire",209
"Bountiful Beanstalk","Great Hall","SB+","-","26.32%","Clumsy Cupbearer",209
"Bountiful Beanstalk","Great Hall","Beanster","-","41.29%","Baroness Von Bean",155
"Bountiful Beanstalk","Great Hall","Beanster","-","29.68%","Vindictive Viscount",155
"Bountiful Beanstalk","Great Hall","Beanster","-","29.03%","Cagey Countess",155
"Bountiful Beanstalk","Great Hall","Lavish Beanster","-","50.40%","Dastardly Duchess",125
"Bountiful Beanstalk","Great Hall","Lavish Beanster","-","49.60%","Malicious Marquis",125
"Bountiful Beanstalk","Great Hall","Royal Beanster","-","100.00%","Pernicious Prince",137
"Bountiful Beanstalk","Castle Giants","SB+","-","33.33%","Dungeon Master",3
"Bountiful Beanstalk","Castle Giants","SB+","-","33.33%","Malevolent Maestro",3
"Bountiful Beanstalk","Castle Giants","SB+","-","33.33%","Mythical Giant King",3
