"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Burroughs Rift","Mist Level 0","Marble String","-","21.19%","Amplified White",8037
"Burroughs Rift","Mist Level 0","Marble String","-","20.27%","Rift Bio Engineer",8037
"Burroughs Rift","Mist Level 0","Marble String","-","15.13%","Cybernetic Specialist",8037
"Burroughs Rift","Mist Level 0","Marble String","-","14.41%","Amplified Brown",8037
"Burroughs Rift","Mist Level 0","Marble String","-","9.57%","Amplified Grey",8037
"Burroughs Rift","Mist Level 0","Marble String","-","4.96%","Evil Scientist",8037
"Burroughs Rift","Mist Level 0","Marble String","-","4.93%","Automated Sentry",8037
"Burroughs Rift","Mist Level 0","Marble String","-","4.80%","Surgeon Bot",8037
"Burroughs Rift","Mist Level 0","Marble String","-","4.74%","Doktor",8037
"Burroughs Rift","Mist Level 0","Swiss String","-","19.83%","Cybernetic Specialist",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","19.68%","Rift Bio Engineer",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","14.71%","Automated Sentry",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","14.67%","Amplified Brown",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","9.73%","Surgeon Bot",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","5.78%","Amplified White",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","5.26%","Evil Scientist",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","5.23%","Doktor",15720
"Burroughs Rift","Mist Level 0","Swiss String","-","5.10%","Amplified Grey",15720
"Burroughs Rift","Mist Level 0","Brie String","-","19.88%","Evil Scientist",40717
"Burroughs Rift","Mist Level 0","Brie String","-","19.53%","Doktor",40717
"Burroughs Rift","Mist Level 0","Brie String","-","14.95%","Surgeon Bot",40717
"Burroughs Rift","Mist Level 0","Brie String","-","14.83%","Automated Sentry",40717
"Burroughs Rift","Mist Level 0","Brie String","-","10.03%","Rift Bio Engineer",40717
"Burroughs Rift","Mist Level 0","Brie String","-","5.96%","Amplified White",40717
"Burroughs Rift","Mist Level 0","Brie String","-","5.03%","Amplified Brown",40717
"Burroughs Rift","Mist Level 0","Brie String","-","4.92%","Cybernetic Specialist",40717
"Burroughs Rift","Mist Level 0","Brie String","-","4.88%","Amplified Grey",40717
"Burroughs Rift","Mist Level 0","Magical String","-","20.18%","Doktor",20431
"Burroughs Rift","Mist Level 0","Magical String","-","15.61%","Portable Generator",20431
"Burroughs Rift","Mist Level 0","Magical String","-","15.42%","Surgeon Bot",20431
"Burroughs Rift","Mist Level 0","Magical String","-","15.18%","Evil Scientist",20431
"Burroughs Rift","Mist Level 0","Magical String","-","10.16%","Automated Sentry",20431
"Burroughs Rift","Mist Level 0","Magical String","-","6.17%","Amplified White",20431
"Burroughs Rift","Mist Level 0","Magical String","-","5.10%","Cybernetic Specialist",20431
"Burroughs Rift","Mist Level 0","Magical String","-","5.09%","Amplified Brown",20431
"Burroughs Rift","Mist Level 0","Magical String","-","5.00%","Amplified Grey",20431
"Burroughs Rift","Mist Level 0","Magical String","-","2.09%","Rift Bio Engineer",20431
"Burroughs Rift","Mist Level 1-5","Marble String","-","30.54%","Tech Ravenous Zombie",681
"Burroughs Rift","Mist Level 1-5","Marble String","-","24.82%","Count Vampire",681
