"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Catacombs","-","Radioactive Blue","-","15.98%","Skeleton",29036
"Catacombs","-","Radioactive Blue","-","13.93%","Ghost",29036
"Catacombs","-","Radioactive Blue","-","9.04%","Spider",29036
"Catacombs","-","Radioactive Blue","-","8.87%","Ooze",29036
"Catacombs","-","Radioactive Blue","-","8.20%","Scavenger",29036
"Catacombs","-","Radioactive Blue","-","8.06%","Keeper's Assistant",29036
"Catacombs","-","Radioactive Blue","-","6.76%","Giant Snail",29036
"Catacombs","-","Radioactive Blue","-","6.39%","Mummy",29036
"Catacombs","-","Radioactive Blue","-","4.54%","Terror Knight",29036
"Catacombs","-","Radioactive Blue","-","4.47%","Vampire",29036
"Catacombs","-","Radioactive Blue","-","3.85%","Zombie",29036
"Catacombs","-","Radioactive Blue","-","3.71%","Bat",29036
"Catacombs","-","Radioactive Blue","-","2.59%","Golem",29036
"Catacombs","-","Radioactive Blue","-","1.83%","Keeper",29036
"Catacombs","-","Radioactive Blue","-","0.84%","Lycan",29036
"Catacombs","-","Radioactive Blue","-","0.52%","Monster",29036
"Catacombs","-","Radioactive Blue","-","0.30%","Gluttonous Zombie",29036
"Catacombs","-","Radioactive Blue","-","0.14%","Black Widow",29036
"Catacombs","-","Ancient","-","17.39%","Skeleton",19965
"Catacombs","-","Ancient","-","14.73%","Spider",19965
"Catacombs","-","Ancient","-","14.25%","Ooze",19965
"Catacombs","-","Ancient","-","12.90%","Scavenger",19965
"Catacombs","-","Ancient","-","12.53%","Keeper's Assistant",19965
"Catacombs","-","Ancient","-","12.24%","Keeper",19965
"Catacombs","-","Ancient","-","7.27%","Terror Knight",19965
"Catacombs","-","Ancient","-","4.41%","Golem",19965
"Catacombs","-","Ancient","-","4.29%","Vampire",19965
"Catacombs","-","Moon","-","45.28%","Lycan",3176
"Catacombs","-","Moon","-","17.60%","Scavenger",3176
"Catacombs","-","Moon","-","11.62%","Ghost",3176
"Catacombs","-","Moon","-","7.37%","Mummy",3176
"Catacombs","-","Moon","-","6.64%","Zombie",3176
"Catacombs","-","Moon","-","6.61%","Bat",3176
"Catacombs","-","Moon","-","4.22%","Vampire",3176
"Catacombs","-","Moon","-","0.66%","Gluttonous Zombie",3176
"Catacombs","-","Crescent","-","45.20%","Lycan",1792
"Catacombs","-","Crescent","-","18.53%","Scavenger",1792
"Catacombs","-","Crescent","-","11.05%","Ghost",1792
"Catacombs","-","Crescent","-","6.92%","Bat",1792
"Catacombs","-","Crescent","-","6.36%","Mummy",1792
"Catacombs","-","Crescent","-","6.03%","Zombie",1792
"Catacombs","-","Crescent","-","5.13%","Vampire",1792
"Catacombs","-","Crescent","-","0.78%","Gluttonous Zombie",1792
"Catacombs","-","Undead Emmental","-","17.23%","Mummy",7057
"Catacombs","-","Undead Emmental","-","15.80%","Ghost",7057
"Catacombs","-","Undead Emmental","-","14.10%","Grave Robber",7057
"Catacombs","-","Undead Emmental","-","11.24%","Zombot Unipire",7057
"Catacombs","-","Undead Emmental","-","9.95%","Vampire",7057
"Catacombs","-","Undead Emmental","-","9.59%","Skeleton",7057
"Catacombs","-","Undead Emmental","-","9.38%","Terror Knight",7057
"Catacombs","-","Undead Emmental","-","6.46%","Ravenous Zombie",7057
"Catacombs","-","Undead Emmental","-","3.95%","Zombie",7057
"Catacombs","-","Undead Emmental","-","2.30%","Gluttonous Zombie",7057
"Catacombs","-","Radioactive Blue","Antiskele","16.80%","Ghost",8849
"Catacombs","-","Radioactive Blue","Antiskele","11.12%","Spider",8849
"Catacombs","-","Radioactive Blue","Antiskele","10.78%","Ooze",8849
"Catacombs","-","Radioactive Blue","Antiskele","9.71%","Keeper's Assistant",8849
"Catacombs","-","Radioactive Blue","Antiskele","9.45%","Scavenger",8849
"Catacombs","-","Radioactive Blue","Antiskele","9.00%","Giant Snail",8849
"Catacombs","-","Radioactive Blue","Antiskele","7.30%","Mummy",8849
"Catacombs","-","Radioactive Blue","Antiskele","5.11%","Vampire",8849
"Catacombs","-","Radioactive Blue","Antiskele","4.89%","Terror Knight",8849
"Catacombs","-","Radioactive Blue","Antiskele","4.48%","Zombie",8849
"Catacombs","-","Radioactive Blue","Antiskele","4.37%","Bat",8849
"Catacombs","-","Radioactive Blue","Antiskele","3.03%","Golem",8849
"Catacombs","-","Radioactive Blue","Antiskele","2.03%","Keeper",8849
"Catacombs","-","Radioactive Blue","Antiskele","0.84%","Lycan",8849
"Catacombs","-","Radioactive Blue","Antiskele","0.61%","Monster",8849
"Catacombs","-","Radioactive Blue","Antiskele","0.34%","Gluttonous Zombie",8849
"Catacombs","-","Radioactive Blue","Antiskele","0.15%","Black Widow",8849
"Catacombs","-","Ancient","Antiskele","17.63%","Spider",16004
"Catacombs","-","Ancient","Antiskele","17.56%","Ooze",16004
"Catacombs","-","Ancient","Antiskele","15.81%","Scavenger",16004
"Catacombs","-","Ancient","Antiskele","15.58%","Keeper's Assistant",16004
"Catacombs","-","Ancient","Antiskele","14.53%","Keeper",16004
"Catacombs","-","Ancient","Antiskele","8.27%","Terror Knight",16004
"Catacombs","-","Ancient","Antiskele","5.37%","Golem",16004
"Catacombs","-","Ancient","Antiskele","5.25%","Vampire",16004
"Catacombs","-","Moon","Antiskele","44.29%","Lycan",429
"Catacombs","-","Moon","Antiskele","17.02%","Scavenger",429
"Catacombs","-","Moon","Antiskele","13.29%","Ghost",429
"Catacombs","-","Moon","Antiskele","7.23%","Zombie",429
"Catacombs","-","Moon","Antiskele","7.23%","Mummy",429
"Catacombs","-","Moon","Antiskele","5.83%","Bat",429
"Catacombs","-","Moon","Antiskele","3.96%","Vampire",429
"Catacombs","-","Moon","Antiskele","1.17%","Gluttonous Zombie",429
"Catacombs","-","Crescent","Antiskele","51.32%","Lycan",152
"Catacombs","-","Crescent","Antiskele","15.13%","Scavenger",152
"Catacombs","-","Crescent","Antiskele","9.21%","Ghost",152
"Catacombs","-","Crescent","Antiskele","8.55%","Zombie",152
"Catacombs","-","Crescent","Antiskele","7.89%","Mummy",152
"Catacombs","-","Crescent","Antiskele","4.61%","Bat",152
"Catacombs","-","Crescent","Antiskele","1.97%","Vampire",152
"Catacombs","-","Crescent","Antiskele","1.32%","Gluttonous Zombie",152
"Catacombs","-","Undead Emmental","Antiskele","19.96%","Mummy",6714
"Catacombs","-","Undead Emmental","Antiskele","17.08%","Ghost",6714
"Catacombs","-","Undead Emmental","Antiskele","14.92%","Grave Robber",6714
"Catacombs","-","Undead Emmental","Antiskele","12.84%","Zombot Unipire",6714
"Catacombs","-","Undead Emmental","Antiskele","11.14%","Vampire",6714
"Catacombs","-","Undead Emmental","Antiskele","10.56%","Terror Knight",6714
"Catacombs","-","Undead Emmental","Antiskele","6.57%","Ravenous Zombie",6714
"Catacombs","-","Undead Emmental","Antiskele","4.69%","Zombie",6714
"Catacombs","-","Undead Emmental","Antiskele","2.23%","Gluttonous Zombie",6714
