"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Conclusion Cliffs","Not Writing","Metaphor Manchego","-","41.21%","Mark Twine",4625
"Conclusion Cliffs","Not Writing","Metaphor Manchego","-","39.20%","Jean Austere",4625
"Conclusion Cliffs","Not Writing","Metaphor Manchego","-","19.59%","J.R.R. Token",4625
"Conclusion Cliffs","Writing Adventure","Deus Ex Maconnais","-","100%","Three Mouseketeers",1
"Conclusion Cliffs","Writing Adventure","Storied Saga","-","60.26%","Dawn Quixotic",8501
"Conclusion Cliffs","Writing Adventure","Plotting Paneer","-","45.71%","Indigo Montana",107624
"Conclusion Cliffs","Writing Adventure","Storied Saga","-","39.74%","Duke of Reuben",8501
"Conclusion Cliffs","Writing Adventure","Plotting Paneer","-","39.28%","Robbin' Cloak",107624
"Conclusion Cliffs","Writing Adventure","Plotting Paneer","-","15.02%","Captain Noname",107624
"Conclusion Cliffs","Writing Comedy","Deus Ex Maconnais","-","100%","Miss Crunchbull",1
"Conclusion Cliffs","Writing Comedy","Storied Saga","-","60.26%","Tumblestaff",8501
"Conclusion Cliffs","Writing Comedy","Plotting Paneer","-","45.71%","Lady Breakwell",107624
"Conclusion Cliffs","Writing Comedy","Storied Saga","-","39.74%","Ratberry",8501
"Conclusion Cliffs","Writing Comedy","Plotting Paneer","-","39.28%","Zephrum Bobblebrox",107624
"Conclusion Cliffs","Writing Comedy","Plotting Paneer","-","15.02%","Ignoramius J. Wryly",107624
"Conclusion Cliffs","Writing Fantasy","Deus Ex Maconnais","-","100%","Janis the Grey Witch",1
"Conclusion Cliffs","Writing Fantasy","Storied Saga","-","60.26%","Grandolph the Green",8501
"Conclusion Cliffs","Writing Fantasy","Plotting Paneer","-","45.71%","Petra Pot",107624
"Conclusion Cliffs","Writing Fantasy","Storied Saga","-","39.74%","Rinsebreeze",8501
"Conclusion Cliffs","Writing Fantasy","Plotting Paneer","-","39.28%","Gerald Rivers",107624
"Conclusion Cliffs","Writing Fantasy","Plotting Paneer","-","15.02%","Danielle Targatheon",107624
"Conclusion Cliffs","Writing Romance","Deus Ex Maconnais","-","100%","Dilemma Woodmouse",1
"Conclusion Cliffs","Writing Romance","Storied Saga","-","60.26%","Rouge O'Hair",8501
"Conclusion Cliffs","Writing Romance","Plotting Paneer","-","45.71%","Lisa Doolots",107624
"Conclusion Cliffs","Writing Romance","Storied Saga","-","39.74%","Red Valet",8501
"Conclusion Cliffs","Writing Romance","Plotting Paneer","-","39.28%","Lady Blatherly",107624
"Conclusion Cliffs","Writing Romance","Plotting Paneer","-","15.02%","Mr. Daresee",107624
"Conclusion Cliffs","Writing Suspense","Deus Ex Maconnais","-","100%","Becca de Frost",1
"Conclusion Cliffs","Writing Suspense","Storied Saga","-","60.26%","Skillful Mr. Cutley",8501
"Conclusion Cliffs","Writing Suspense","Plotting Paneer","-","45.71%","Nancy Sketched",107624
"Conclusion Cliffs","Writing Suspense","Storied Saga","-","39.74%","Professor Morty Artie",8501
"Conclusion Cliffs","Writing Suspense","Plotting Paneer","-","39.28%","Hardy Mice",107624
"Conclusion Cliffs","Writing Suspense","Plotting Paneer","-","15.02%","Herbie Pirouette",107624
"Conclusion Cliffs","Writing Tragedy","Deus Ex Maconnais","-","100%","Aching Heels",1
"Conclusion Cliffs","Writing Tragedy","Storied Saga","-","60.26%","Lady MacBath",8501
"Conclusion Cliffs","Writing Tragedy","Plotting Paneer","-","45.71%","Billy Lowfellow",107624
"Conclusion Cliffs","Writing Tragedy","Storied Saga","-","39.74%","Prince Hapless",8501
"Conclusion Cliffs","Writing Tragedy","Plotting Paneer","-","39.28%","Great Ratsby",107624
"Conclusion Cliffs","Writing Tragedy","Plotting Paneer","-","15.02%","Madame Bogarty",107624
"Conclusion Cliffs","Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","20%","Adventure Weaver",1
"Conclusion Cliffs","Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","20%","Comedy Weaver",1
"Conclusion Cliffs","Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","20%","Romance Weaver",1
"Conclusion Cliffs","Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","20%","Suspense Weaver",1
"Conclusion Cliffs","Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","20%","Tragedy Weaver",1
"Conclusion Cliffs","Fantasy Postscript","Plotting Paneer/Storied Saga/Deus Ex Maconnais","-","100%","Ultimate Mythweaver",1
