"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cursed City","Curse Lifted","Graveblossom Camembert","-","21.66%","Cursed Librarian",37954
"Cursed City","Curse Lifted","Graveblossom Camembert","-","21.43%","Essence Guardian",37954
"Cursed City","Curse Lifted","Graveblossom Camembert","-","18.20%","Cursed Enchanter",37954
"Cursed City","Curse Lifted","Graveblossom Camembert","-","17.68%","Cursed Engineer",37954
"Cursed City","Curse Lifted","Graveblossom Camembert","-","17.42%","Cursed Thief",37954
"Cursed City","Curse Lifted","Graveblossom Camembert","-","3.61%","Corrupt",37954
"Cursed City","Cursed","Graveblossom Camembert","-","25.53%","Cursed Librarian",44985
"Cursed City","Cursed","Graveblossom Camembert","-","22.17%","Cursed Enchanter",44985
"Cursed City","Cursed","Graveblossom Camembert","-","21.13%","Cursed Thief",44985
"Cursed City","Cursed","Graveblossom Camembert","-","21.09%","Cursed Engineer",44985
"Cursed City","Cursed","Graveblossom Camembert","-","10.07%","Corrupt",44985
"Cursed City","Curse Lifted","Graveblossom Camembert","Safeguard","22.63%","Essence Guardian",25729
"Cursed City","Curse Lifted","Graveblossom Camembert","Safeguard","22.17%","Cursed Librarian",25729
"Cursed City","Curse Lifted","Graveblossom Camembert","Safeguard","19.25%","Cursed Enchanter",25729
"Cursed City","Curse Lifted","Graveblossom Camembert","Safeguard","18.21%","Cursed Engineer",25729
"Cursed City","Curse Lifted","Graveblossom Camembert","Safeguard","17.73%","Cursed Thief",25729
"Cursed City","Cursed","Graveblossom Camembert","Safeguard","28.51%","Cursed Librarian",442
"Cursed City","Cursed","Graveblossom Camembert","Safeguard","26.70%","Cursed Thief",442
"Cursed City","Cursed","Graveblossom Camembert","Safeguard","24.21%","Cursed Enchanter",442
"Cursed City","Cursed","Graveblossom Camembert","Safeguard","20.59%","Cursed Engineer",442
"Cursed City","Curse Lifted","Graveblossom Camembert","Shattering","91.13%","Dark Magi",3382
"Cursed City","Curse Lifted","Graveblossom Camembert","Shattering","8.87%","Corrupt",3382
"Cursed City","Cursed","Graveblossom Camembert","Shattering","100.00%","Corrupt",146
