"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Floating Islands","Launch Pad","SB+","-","35.36%","Cloud Miner",8804
"Floating Islands","Launch Pad","SB+","-","32.86%","Launchpad Labourer",8804
"Floating Islands","Launch Pad","SB+","-","17.47%","Skydiver",8804
"Floating Islands","Launch Pad","SB+","-","14.31%","Sky Greaser",8804
"Floating Islands","Launch Pad","Gouda","-","42.36%","Launchpad Labourer",19126
"Floating Islands","Launch Pad","Gouda","-","36.71%","Sky Greaser",19126
"Floating Islands","Launch Pad","Gouda","-","20.93%","Skydiver",19126
"Floating Islands","Physical Island","Cloud Cheesecake","-","29.77%","Sky Swordsman",35314
"Floating Islands","Physical Island","Cloud Cheesecake","-","20.86%","Herc",35314
"Floating Islands","Physical Island","Cloud Cheesecake","-","19.76%","Ground Gavaleer",35314
"Floating Islands","Physical Island","Cloud Cheesecake","-","18.82%","Kite Flyer",35314
"Floating Islands","Physical Island","Cloud Cheesecake","-","10.79%","Daydreamer",35314
"Floating Islands","Physical Island","SB+","-","44.93%","Kite Flyer",138
"Floating Islands","Physical Island","SB+","-","42.75%","Daydreamer",138
"Floating Islands","Physical Island","SB+","-","6.52%","Sky Swordsman",138
"Floating Islands","Physical Island","SB+","-","5.80%","Ground Gavaleer",138
"Floating Islands","Physical Island","Gouda","-","51.12%","Daydreamer",491
"Floating Islands","Physical Island","Gouda","-","37.07%","Kite Flyer",491
"Floating Islands","Physical Island","Gouda","-","7.74%","Ground Gavaleer",491
"Floating Islands","Physical Island","Gouda","-","4.07%","Sky Swordsman",491
"Floating Islands","Physical Palisade","Cloud Cheesecake","-","34.94%","Sky Squire",16423
"Floating Islands","Physical Palisade","Cloud Cheesecake","-","24.37%","Sky Swordsman",16423
"Floating Islands","Physical Palisade","Cloud Cheesecake","-","20.78%","Ground Gavaleer",16423
"Floating Islands","Physical Palisade","Cloud Cheesecake","-","19.91%","Herc",16423
"Floating Islands","Shadow Island","Cloud Cheesecake","-","29.98%","Overcaster",28761
"Floating Islands","Shadow Island","Cloud Cheesecake","-","20.77%","Stratocaster",28761
"Floating Islands","Shadow Island","Cloud Cheesecake","-","19.47%","Astrological Astronomer",28761
"Floating Islands","Shadow Island","Cloud Cheesecake","-","18.83%","Kite Flyer",28761
"Floating Islands","Shadow Island","Cloud Cheesecake","-","10.95%","Daydreamer",28761
"Floating Islands","Shadow Island","Gouda","-","49.71%","Daydreamer",348
"Floating Islands","Shadow Island","Gouda","-","39.08%","Kite Flyer",348
"Floating Islands","Shadow Island","Gouda","-","5.75%","Astrological Astronomer",348
"Floating Islands","Shadow Island","Gouda","-","5.46%","Overcaster",348
"Floating Islands","Shadow Stronghold","Cloud Cheesecake","-","34.21%","Shadow Sage",14609
"Floating Islands","Shadow Stronghold","Cloud Cheesecake","-","24.37%","Overcaster",14609
"Floating Islands","Shadow Stronghold","Cloud Cheesecake","-","21.40%","Astrological Astronomer",14609
"Floating Islands","Shadow Stronghold","Cloud Cheesecake","-","20.02%","Stratocaster",14609
"Floating Islands","Tactical Island","Cloud Cheesecake","-","29.48%","Gyrologer",34738
"Floating Islands","Tactical Island","Cloud Cheesecake","-","20.76%","Seasoned Islandographer",34738
"Floating Islands","Tactical Island","Cloud Cheesecake","-","19.85%","Worried Wayfinder",34738
"Floating Islands","Tactical Island","Cloud Cheesecake","-","19.05%","Kite Flyer",34738
"Floating Islands","Tactical Island","Cloud Cheesecake","-","10.87%","Daydreamer",34738
"Floating Islands","Tactical Island","SB+","-","48.37%","Kite Flyer",215
"Floating Islands","Tactical Island","SB+","-","40.00%","Daydreamer",215
"Floating Islands","Tactical Island","SB+","-","6.51%","Gyrologer",215
"Floating Islands","Tactical Island","SB+","-","5.12%","Worried Wayfinder",215
"Floating Islands","Tactical Island","Gouda","-","51.54%","Daydreamer",520
"Floating Islands","Tactical Island","Gouda","-","38.46%","Kite Flyer",520
"Floating Islands","Tactical Island","Gouda","-","5.38%","Gyrologer",520
"Floating Islands","Tactical Island","Gouda","-","4.62%","Worried Wayfinder",520
"Floating Islands","Tactical Castle","Cloud Cheesecake","-","34.04%","Captain Cloudkicker",16678
"Floating Islands","Tactical Castle","Cloud Cheesecake","-","24.01%","Gyrologer",16678
"Floating Islands","Tactical Castle","Cloud Cheesecake","-","21.47%","Worried Wayfinder",16678
"Floating Islands","Tactical Castle","Cloud Cheesecake","-","20.49%","Seasoned Islandographer",16678
"Floating Islands","Arcane Island","Cloud Cheesecake","-","29.60%","Sky Glass Glazier",34531
"Floating Islands","Arcane Island","Cloud Cheesecake","-","20.69%","Sky Dancer",34531
"Floating Islands","Arcane Island","Cloud Cheesecake","-","20.02%","Sky Glass Sorcerer",34531
"Floating Islands","Arcane Island","Cloud Cheesecake","-","18.55%","Kite Flyer",34531
"Floating Islands","Arcane Island","Cloud Cheesecake","-","11.14%","Daydreamer",34531
"Floating Islands","Arcane Island","SB+","-","48.28%","Kite Flyer",145
"Floating Islands","Arcane Island","SB+","-","40.69%","Daydreamer",145
"Floating Islands","Arcane Island","SB+","-","6.90%","Sky Glass Sorcerer",145
"Floating Islands","Arcane Island","SB+","-","4.14%","Sky Glass Glazier",145
"Floating Islands","Arcane Island","Gouda","-","56.39%","Daydreamer",454
"Floating Islands","Arcane Island","Gouda","-","35.46%","Kite Flyer",454
"Floating Islands","Arcane Island","Gouda","-","5.73%","Sky Glass Glazier",454
"Floating Islands","Arcane Island","Gouda","-","2.42%","Sky Glass Sorcerer",454
"Floating Islands","Arcane Keep","Cloud Cheesecake","-","34.96%","Sky Highborne",16743
"Floating Islands","Arcane Keep","Cloud Cheesecake","-","24.53%","Sky Glass Glazier",16743
"Floating Islands","Arcane Keep","Cloud Cheesecake","-","20.96%","Sky Glass Sorcerer",16743
"Floating Islands","Arcane Keep","Cloud Cheesecake","-","19.55%","Sky Dancer",16743
"Floating Islands","Forgotten Island","Cloud Cheesecake","-","29.82%","Spry Sky Seer",33348
"Floating Islands","Forgotten Island","Cloud Cheesecake","-","20.81%","Cumulost",33348
"Floating Islands","Forgotten Island","Cloud Cheesecake","-","19.64%","Spry Sky Explorer",33348
"Floating Islands","Forgotten Island","Cloud Cheesecake","-","18.57%","Kite Flyer",33348
"Floating Islands","Forgotten Island","Cloud Cheesecake","-","11.15%","Daydreamer",33348
"Floating Islands","Forgotten Island","SB+","-","52.17%","Kite Flyer",138
"Floating Islands","Forgotten Island","SB+","-","40.58%","Daydreamer",138
"Floating Islands","Forgotten Island","SB+","-","3.62%","Spry Sky Seer",138
"Floating Islands","Forgotten Island","SB+","-","3.62%","Spry Sky Explorer",138
"Floating Islands","Forgotten Island","Gouda","-","52.56%","Daydreamer",860
