"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fort Rox","Day","Gouda","-","29.82%","Mischievous Meteorite Miner",181951
"Fort Rox","Day","Gouda","-","29.74%","Meteorite Miner",181951
"Fort Rox","Day","Gouda","-","17.61%","Hardworking Hauler",181951
"Fort Rox","Day","Gouda","-","11.89%","Meteorite Snacker",181951
"Fort Rox","Day","Gouda","-","5.88%","Meteorite Mover",181951
"Fort Rox","Day","Gouda","-","5.05%","Mining Materials Manager",181951
"Fort Rox","Day","Brie","-","29.86%","Mischievous Meteorite Miner",30274
"Fort Rox","Day","Brie","-","29.35%","Meteorite Miner",30274
"Fort Rox","Day","Brie","-","18.07%","Hardworking Hauler",30274
"Fort Rox","Day","Brie","-","11.93%","Meteorite Snacker",30274
"Fort Rox","Day","Brie","-","5.89%","Meteorite Mover",30274
"Fort Rox","Day","Brie","-","4.90%","Mining Materials Manager",30274
"Fort Rox","Day","SB+","-","24.82%","Meteorite Miner",11072
"Fort Rox","Day","SB+","-","23.60%","Mischievous Meteorite Miner",11072
"Fort Rox","Day","SB+","-","16.89%","Hardworking Hauler",11072
"Fort Rox","Day","SB+","-","16.54%","Mining Materials Manager",11072
"Fort Rox","Day","SB+","-","15.56%","Meteorite Snacker",11072
"Fort Rox","Day","SB+","-","2.59%","Meteorite Mover",11072
"Fort Rox","Day","Crescent","-","25.71%","Mischievous Meteorite Miner",7830
"Fort Rox","Day","Crescent","-","23.67%","Meteorite Miner",7830
"Fort Rox","Day","Crescent","-","20.87%","Meteorite Snacker",7830
"Fort Rox","Day","Crescent","-","15.02%","Hardworking Hauler",7830
"Fort Rox","Day","Crescent","-","10.10%","Meteorite Mover",7830
"Fort Rox","Day","Crescent","-","4.64%","Mining Materials Manager",7830
"Fort Rox","Day","Moon","-","33.12%","Meteorite Snacker",4907
"Fort Rox","Day","Moon","-","22.19%","Meteorite Miner",4907
"Fort Rox","Day","Moon","-","21.15%","Mischievous Meteorite Miner",4907
"Fort Rox","Day","Moon","-","8.44%","Hardworking Hauler",4907
"Fort Rox","Day","Moon","-","8.07%","Meteorite Mover",4907
"Fort Rox","Day","Moon","-","7.03%","Mining Materials Manager",4907
"Fort Rox","Twilight","Gouda","-","27.32%","Battering Ram",4942
"Fort Rox","Twilight","Gouda","-","17.73%","Werehauler",4942
"Fort Rox","Twilight","Gouda","-","14.61%","Mischievous Wereminer",4942
"Fort Rox","Twilight","Gouda","-","13.13%","Reveling Lycanthrope",4942
"Fort Rox","Twilight","Gouda","-","12.08%","Nightmancer",4942
"Fort Rox","Twilight","Gouda","-","9.13%","Wereminer",4942
"Fort Rox","Twilight","Gouda","-","6.01%","Alpha Weremouse",4942
"Fort Rox","Twilight","Brie","-","27.23%","Battering Ram",191
"Fort Rox","Twilight","Brie","-","16.75%","Nightmancer",191
"Fort Rox","Twilight","Brie","-","14.14%","Werehauler",191
"Fort Rox","Twilight","Brie","-","14.14%","Mischievous Wereminer",191
"Fort Rox","Twilight","Brie","-","11.52%","Reveling Lycanthrope",191
"Fort Rox","Twilight","Brie","-","8.90%","Wereminer",191
"Fort Rox","Twilight","Brie","-","7.33%","Alpha Weremouse",191
"Fort Rox","Twilight","SB+","-","17.36%","Werehauler",887
"Fort Rox","Twilight","SB+","-","17.14%","Battering Ram",887
"Fort Rox","Twilight","SB+","-","16.35%","Mischievous Wereminer",887
"Fort Rox","Twilight","SB+","-","12.63%","Alpha Weremouse",887
"Fort Rox","Twilight","SB+","-","12.40%","Nightmancer",887
"Fort Rox","Twilight","SB+","-","11.50%","Reveling Lycanthrope",887
"Fort Rox","Twilight","SB+","-","8.46%","Wereminer",887
"Fort Rox","Twilight","SB+","-","4.17%","Night Shift Materials Manager",887
"Fort Rox","Twilight","Crescent","-","23.00%","Werehauler",130120
"Fort Rox","Twilight","Crescent","-","19.25%","Alpha Weremouse",130120
"Fort Rox","Twilight","Crescent","-","16.03%","Reveling Lycanthrope",130120
"Fort Rox","Twilight","Crescent","-","14.84%","Wereminer",130120
"Fort Rox","Twilight","Crescent","-","14.23%","Mischievous Wereminer",130120
"Fort Rox","Twilight","Crescent","-","7.57%","Night Shift Materials Manager",130120
"Fort Rox","Twilight","Crescent","-","5.08%","Nightmancer",130120
