"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fungal Cavern","-","SB+","-","14.57%","Funglore",32225
"Fungal Cavern","-","SB+","-","13.97%","Lumahead",32225
"Fungal Cavern","-","SB+","-","12.09%","Mush",32225
"Fungal Cavern","-","SB+","-","11.90%","Floating Spore",32225
"Fungal Cavern","-","SB+","-","11.84%","Quillback",32225
"Fungal Cavern","-","SB+","-","9.00%","Mushroom Sprite",32225
"Fungal Cavern","-","SB+","-","7.98%","Nightshade Masquerade",32225
"Fungal Cavern","-","SB+","-","7.96%","Bitter Root",32225
"Fungal Cavern","-","SB+","-","6.81%","Spiked Burrower",32225
"Fungal Cavern","-","SB+","-","1.89%","Sporeticus",32225
"Fungal Cavern","-","SB+","-","1.04%","Mouldy Mole",32225
"Fungal Cavern","-","SB+","-","0.95%","Spore Muncher",32225
"Fungal Cavern","-","Gouda","-","14.80%","Mush",120519
"Fungal Cavern","-","Gouda","-","14.79%","Funglore",120519
"Fungal Cavern","-","Gouda","-","13.86%","Floating Spore",120519
"Fungal Cavern","-","Gouda","-","13.76%","Lumahead",120519
"Fungal Cavern","-","Gouda","-","11.93%","Quillback",120519
"Fungal Cavern","-","Gouda","-","10.06%","Mushroom Sprite",120519
"Fungal Cavern","-","Gouda","-","8.07%","Bitter Root",120519
"Fungal Cavern","-","Gouda","-","6.86%","Spiked Burrower",120519
"Fungal Cavern","-","Gouda","-","2.01%","Sporeticus",120519
"Fungal Cavern","-","Gouda","-","1.94%","Mouldy Mole",120519
"Fungal Cavern","-","Gouda","-","1.93%","Spore Muncher",120519
"Fungal Cavern","-","Brie","-","14.20%","Mush",11936
"Fungal Cavern","-","Brie","-","12.63%","Quillback",11936
"Fungal Cavern","-","Brie","-","12.40%","Lumahead",11936
"Fungal Cavern","-","Brie","-","10.23%","Floating Spore",11936
"Fungal Cavern","-","Brie","-","10.06%","Funglore",11936
"Fungal Cavern","-","Brie","-","8.58%","Mushroom Sprite",11936
"Fungal Cavern","-","Brie","-","8.54%","Bitter Root",11936
"Fungal Cavern","-","Brie","-","7.14%","Spiked Burrower",11936
"Fungal Cavern","-","Brie","-","6.02%","Sporeticus",11936
"Fungal Cavern","-","Brie","-","5.35%","Mouldy Mole",11936
"Fungal Cavern","-","Brie","-","4.85%","Spore Muncher",11936
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","24.78%","Dirt Thing",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","24.32%","Crystalline Slasher",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","15.55%","Crag Elder",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","10.87%","Stone Maiden",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","10.00%","Splintered Stone Sentry",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","9.74%","Shattered Obsidian",6147
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","4.73%","Gemstone Worshipper",6147
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","19.94%","Crag Elder",88247
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","19.72%","Stone Maiden",88247
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","17.88%","Dirt Thing",88247
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","17.68%","Crystalline Slasher",88247
