"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cinnamon Hill","-","Brie","-","26.26%","Candy Cane",396
"Cinnamon Hill","-","Brie","-","19.19%","Hoarder",396
"Cinnamon Hill","-","Brie","-","16.16%","Young Prodigy Racer",396
"Cinnamon Hill","-","Brie","-","15.66%","Nice Knitting",396
"Cinnamon Hill","-","Brie","-","9.60%","Snow Scavenger",396
"Cinnamon Hill","-","Brie","-","8.08%","Toboggan Technician",396
"Cinnamon Hill","-","Brie","-","5.05%","Shorts-All-Year",396
"Cinnamon Hill","-","Gouda","-","22.74%","Candy Cane",4235
"Cinnamon Hill","-","Gouda","-","22.22%","Young Prodigy Racer",4235
"Cinnamon Hill","-","Gouda","-","20.33%","Hoarder",4235
"Cinnamon Hill","-","Gouda","-","14.50%","Nice Knitting",4235
"Cinnamon Hill","-","Gouda","-","8.24%","Toboggan Technician",4235
"Cinnamon Hill","-","Gouda","-","6.87%","Snow Scavenger",4235
"Cinnamon Hill","-","Gouda","-","5.10%","Shorts-All-Year",4235
"Cinnamon Hill","-","SB+","-","24.46%","Hoarder",1803
"Cinnamon Hill","-","SB+","-","21.13%","Candy Cane",1803
"Cinnamon Hill","-","SB+","-","17.80%","Young Prodigy Racer",1803
"Cinnamon Hill","-","SB+","-","10.37%","Shorts-All-Year",1803
"Cinnamon Hill","-","SB+","-","9.76%","Toboggan Technician",1803
"Cinnamon Hill","-","SB+","-","8.99%","Nice Knitting",1803
"Cinnamon Hill","-","SB+","-","7.49%","Snow Scavenger",1803
"Cinnamon Hill","-","Pecan Pecorino","-","19.46%","Black Diamond Racer",19319
"Cinnamon Hill","-","Pecan Pecorino","-","12.74%","Sporty Ski Instructor",19319
"Cinnamon Hill","-","Pecan Pecorino","-","10.21%","Wreath Thief",19319
"Cinnamon Hill","-","Pecan Pecorino","-","9.98%","Snow Golem Jockey",19319
"Cinnamon Hill","-","Pecan Pecorino","-","7.99%","Snow Boulder",19319
"Cinnamon Hill","-","Pecan Pecorino","-","7.74%","Snowball Hoarder",19319
"Cinnamon Hill","-","Pecan Pecorino","-","4.90%","Triple Lutz",19319
"Cinnamon Hill","-","Pecan Pecorino","-","4.89%","Stuck Snowball",19319
"Cinnamon Hill","-","Pecan Pecorino","-","4.06%","Double Black Diamond Racer",19319
"Cinnamon Hill","-","Pecan Pecorino","-","4.02%","Nitro Racer",19319
"Cinnamon Hill","-","Pecan Pecorino","-","3.92%","Free Skiing",19319
"Cinnamon Hill","-","Pecan Pecorino","-","3.14%","Great Giftnapper",19319
"Cinnamon Hill","-","Pecan Pecorino","-","2.84%","Snowflake",19319
"Cinnamon Hill","-","Pecan Pecorino","-","2.13%","Rainbow Racer",19319
"Cinnamon Hill","-","Pecan Pecorino","-","1.99%","Ol' King Coal",19319
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","12.21%","Snow Boulder",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","11.98%","Snowball Hoarder",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","10.22%","Sporty Ski Instructor",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","9.19%","Black Diamond Racer",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","8.33%","Wreath Thief",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","8.18%","Snow Golem Jockey",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","5.89%","Joy",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","5.29%","Snowflake",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","5.19%","Glazy",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","4.40%","Stuck Snowball",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","4.38%","Nitro Racer",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","4.11%","Double Black Diamond Racer",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","3.99%","Free Skiing",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","2.73%","Great Giftnapper",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","2.04%","Rainbow Racer",5159
"Cinnamon Hill","-","Glazed Pecan Pecorino","-","1.86%","Ol' King Coal",5159
"Golem Workshop","-","Gouda","-","23.39%","Mouse of Winter Present",3506
"Golem Workshop","-","Gouda","-","21.59%","Gingerbread",3506
"Golem Workshop","-","Gouda","-","20.91%","Hoarder",3506
"Golem Workshop","-","Gouda","-","14.92%","Mouse of Winter Future",3506
"Golem Workshop","-","Gouda","-","9.75%","Greedy Al",3506
"Golem Workshop","-","Gouda","-","9.44%","Mouse of Winter Past",3506
"Golem Workshop","-","SB+","-","26.88%","Hoarder",1782
"Golem Workshop","-","SB+","-","19.14%","Mouse of Winter Present",1782
"Golem Workshop","-","SB+","-","15.88%","Gingerbread",1782
"Golem Workshop","-","SB+","-","10.21%","Mouse of Winter Past",1782
