"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","No Bounty","SB+","-","22.29%","Pirate",17105
"Harbour","No Bounty","SB+","-","8.78%","Burglar",17105
"Harbour","No Bounty","SB+","-","7.93%","Spotted",17105
"Harbour","No Bounty","SB+","-","6.44%","White",17105
"Harbour","No Bounty","SB+","-","6.24%","Brown",17105
"Harbour","No Bounty","SB+","-","5.79%","Grey",17105
"Harbour","No Bounty","SB+","-","4.42%","Magic",17105
"Harbour","No Bounty","SB+","-","4.39%","Bionic",17105
"Harbour","No Bounty","SB+","-","4.36%","Granite",17105
"Harbour","No Bounty","SB+","-","4.33%","Steel",17105
"Harbour","No Bounty","SB+","-","4.23%","Scruffy",17105
"Harbour","No Bounty","SB+","-","4.06%","Fog",17105
"Harbour","No Bounty","SB+","-","4.06%","Pugilist",17105
"Harbour","No Bounty","SB+","-","3.70%","Dwarf",17105
"Harbour","No Bounty","SB+","-","3.38%","Silvertail",17105
"Harbour","No Bounty","SB+","-","2.43%","Diamond",17105
"Harbour","No Bounty","SB+","-","2.43%","Gold",17105
"Harbour","No Bounty","SB+","-","0.74%","Black Widow",17105
"Harbour","No Bounty","Gouda","-","22.36%","Pirate",8336
"Harbour","No Bounty","Gouda","-","8.55%","Dwarf",8336
"Harbour","No Bounty","Gouda","-","8.53%","Scruffy",8336
"Harbour","No Bounty","Gouda","-","7.67%","Spotted",8336
"Harbour","No Bounty","Gouda","-","7.26%","Pugilist",8336
"Harbour","No Bounty","Gouda","-","7.08%","Granite",8336
"Harbour","No Bounty","Gouda","-","6.30%","White",8336
"Harbour","No Bounty","Gouda","-","6.24%","Steel",8336
"Harbour","No Bounty","Gouda","-","6.05%","Bionic",8336
"Harbour","No Bounty","Gouda","-","6.03%","Grey",8336
"Harbour","No Bounty","Gouda","-","5.70%","Brown",8336
"Harbour","No Bounty","Gouda","-","4.53%","Diamond",8336
"Harbour","No Bounty","Gouda","-","3.71%","Gold",8336
"Harbour","No Bounty","Brie","-","23.53%","Pirate",8566
"Harbour","No Bounty","Brie","-","9.01%","Scruffy",8566
"Harbour","No Bounty","Brie","-","8.48%","Dwarf",8566
"Harbour","No Bounty","Brie","-","7.99%","Burglar",8566
"Harbour","No Bounty","Brie","-","7.51%","Spotted",8566
"Harbour","No Bounty","Brie","-","6.62%","White",8566
"Harbour","No Bounty","Brie","-","5.81%","Grey",8566
"Harbour","No Bounty","Brie","-","5.50%","Brown",8566
"Harbour","No Bounty","Brie","-","4.42%","Diamond",8566
"Harbour","No Bounty","Brie","-","4.40%","Bionic",8566
"Harbour","No Bounty","Brie","-","4.25%","Granite",8566
"Harbour","No Bounty","Brie","-","4.25%","Pugilist",8566
"Harbour","No Bounty","Brie","-","4.18%","Gold",8566
"Harbour","No Bounty","Brie","-","4.05%","Steel",8566
"Harbour","No Bounty","Swiss","-","25.28%","Pirate",1673
"Harbour","No Bounty","Swiss","-","8.97%","Scruffy",1673
"Harbour","No Bounty","Swiss","-","7.95%","Spotted",1673
"Harbour","No Bounty","Swiss","-","7.89%","Dwarf",1673
"Harbour","No Bounty","Swiss","-","6.58%","White",1673
"Harbour","No Bounty","Swiss","-","6.58%","Granite",1673
"Harbour","No Bounty","Swiss","-","6.46%","Pugilist",1673
"Harbour","No Bounty","Swiss","-","6.34%","Grey",1673
"Harbour","No Bounty","Swiss","-","6.04%","Bionic",1673
"Harbour","No Bounty","Swiss","-","5.98%","Brown",1673
"Harbour","No Bounty","Swiss","-","4.90%","Steel",1673
