"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","19.84%","Snow Slinger",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","19.69%","Polar Bear",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","15.61%","Incompetent Ice Climber",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.79%","Snow Soldier",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.52%","Chipper",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.48%","Icebreaker",21867
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","1.07%","Living Salt",21867
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","29.45%","Icebreaker",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","29.20%","Chipper",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","10.66%","Incompetent Ice Climber",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.98%","Snow Soldier",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.92%","Polar Bear",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.74%","Snow Slinger",69726
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","1.05%","Living Salt",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","29.45%","Icebreaker",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","29.20%","Chipper",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","10.66%","Incompetent Ice Climber",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.98%","Snow Soldier",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.92%","Polar Bear",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.74%","Snow Slinger",69726
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","1.05%","Living Salt",69726
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","30.36%","Polar Bear",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","29.31%","Snow Slinger",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","24.50%","Iceblock",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","4.99%","Yeti",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","4.94%","Mammoth",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","4.92%","Snow Bowler",138374
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","0.99%","Living Salt",138374
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","15.71%","Snow Slinger",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","14.77%","Wolfskie",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","14.66%","Iceblock",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","9.90%","Saboteur",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","9.78%","Heavy Blaster",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","9.75%","Chipper",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","9.75%","Icebreaker",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","9.69%","Stickybomber",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","4.92%","Snow Bowler",84161
"Iceberg","Bombing Run","SB+/Gouda/Brie","-","1.06%","Living Salt",84161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","19.67%","Icebreaker",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","19.52%","Chipper",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","10.71%","Snow Slinger",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","9.89%","Saboteur",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","9.87%","Stickybomber",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","9.86%","Iceblock",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","9.75%","Wolfskie",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","4.86%","Heavy Blaster",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","4.86%","Snow Bowler",178161
"Iceberg","Bombing Run (Magnet)","SB+/Gouda/Brie","-","1.01%","Living Salt",178161
