"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Laboratory","-","SB+","-","27.22%","Sludge Scientist",8221
"Laboratory","-","SB+","-","24.97%","Clumsy Chemist",8221
"Laboratory","-","SB+","-","22.47%","Squeaker Bot",8221
"Laboratory","-","SB+","-","16.63%","Bionic",8221
"Laboratory","-","SB+","-","8.24%","Burglar",8221
"Laboratory","-","SB+","-","0.47%","Black Widow",8221
"Laboratory","-","Brie","-","31.25%","Squeaker Bot",14251
"Laboratory","-","Brie","-","28.37%","Bionic",14251
"Laboratory","-","Brie","-","26.45%","Sludge Scientist",14251
"Laboratory","-","Brie","-","9.24%","Clumsy Chemist",14251
"Laboratory","-","Brie","-","4.69%","Burglar",14251
"Laboratory","-","Gouda","-","33.06%","Sludge Scientist",9871
"Laboratory","-","Gouda","-","31.14%","Squeaker Bot",9871
"Laboratory","-","Gouda","-","24.31%","Bionic",9871
"Laboratory","-","Gouda","-","11.49%","Clumsy Chemist",9871
"Laboratory","-","Swiss","-","32.09%","Squeaker Bot",1820
"Laboratory","-","Swiss","-","31.54%","Sludge Scientist",1820
"Laboratory","-","Swiss","-","26.10%","Bionic",1820
"Laboratory","-","Swiss","-","10.27%","Clumsy Chemist",1820
"Laboratory","-","Marble","-","30.80%","Bionic",250
"Laboratory","-","Marble","-","30.00%","Sludge Scientist",250
"Laboratory","-","Marble","-","28.40%","Squeaker Bot",250
"Laboratory","-","Marble","-","10.80%","Clumsy Chemist",250
"Laboratory","-","Cheddar","-","33.49%","Sludge Scientist",209
"Laboratory","-","Cheddar","-","32.06%","Squeaker Bot",209
"Laboratory","-","Cheddar","-","19.14%","Bionic",209
"Laboratory","-","Cheddar","-","15.31%","Clumsy Chemist",209
"Laboratory","-","Radioactive Blue","-","27.61%","Monster",19204
"Laboratory","-","Radioactive Blue","-","27.36%","Mutated Grey",19204
"Laboratory","-","Radioactive Blue","-","27.07%","Mutated White",19204
"Laboratory","-","Radioactive Blue","-","17.79%","Mutated Brown",19204
"Laboratory","-","Radioactive Blue","-","0.16%","Black Widow",19204
"Laboratory","-","Rancid Radioactive Blue","-","31.01%","Mutated White",20376
"Laboratory","-","Rancid Radioactive Blue","-","24.79%","Monster",20376
"Laboratory","-","Rancid Radioactive Blue","-","24.52%","Mutated Grey",20376
"Laboratory","-","Rancid Radioactive Blue","-","18.71%","Mutated Brown",20376
"Laboratory","-","Rancid Radioactive Blue","-","0.96%","Black Widow",20376
"Laboratory","-","Magical Rancid Radioactive Blue","-","47.33%","Monster",15858
"Laboratory","-","Magical Rancid Radioactive Blue","-","19.95%","Mutated Grey",15858
"Laboratory","-","Magical Rancid Radioactive Blue","-","16.54%","Mutated White",15858
"Laboratory","-","Magical Rancid Radioactive Blue","-","14.30%","Mutated Brown",15858
"Laboratory","-","Magical Rancid Radioactive Blue","-","1.89%","Black Widow",15858
"Laboratory","-","Limelight","-","100.00%","Mutated Mole",3454
