"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Labyrinth","Plain Fealty","Glowing Gruyere","-","26.73%","Drudge",198889
"Labyrinth","Plain Fealty","Glowing Gruyere","-","22.77%","Masked Pikeman",198889
"Labyrinth","Plain Fealty","Glowing Gruyere","-","17.85%","Corridor Bruiser",198889
"Labyrinth","Plain Fealty","Glowing Gruyere","-","15.85%","Lost Legionnaire",198889
"Labyrinth","Plain Fealty","Glowing Gruyere","-","14.85%","Lost",198889
"Labyrinth","Plain Fealty","Glowing Gruyere","-","1.95%","Reanimated Carver",198889
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","21.53%","Drudge",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","19.65%","Shadow Stalker",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","18.35%","Masked Pikeman",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","14.34%","Corridor Bruiser",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","12.71%","Lost Legionnaire",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","11.81%","Lost",66971
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","1.60%","Reanimated Carver",66971
"Labyrinth","Plain Tech","Glowing Gruyere","-","26.86%","RR-8",195130
"Labyrinth","Plain Tech","Glowing Gruyere","-","22.75%","Ash Golem",195130
"Labyrinth","Plain Tech","Glowing Gruyere","-","17.82%","Corridor Bruiser",195130
"Labyrinth","Plain Tech","Glowing Gruyere","-","15.72%","Lost Legionnaire",195130
"Labyrinth","Plain Tech","Glowing Gruyere","-","14.87%","Lost",195130
"Labyrinth","Plain Tech","Glowing Gruyere","-","1.98%","Reanimated Carver",195130
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","21.58%","RR-8",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","19.57%","Shadow Stalker",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","17.95%","Ash Golem",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","14.32%","Corridor Bruiser",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","12.84%","Lost Legionnaire",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","12.08%","Lost",64734
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","1.64%","Reanimated Carver",64734
"Labyrinth","Plain Scholar","Glowing Gruyere","-","26.83%","Summoning Scholar",193167
"Labyrinth","Plain Scholar","Glowing Gruyere","-","22.71%","Sanguinarian",193167
"Labyrinth","Plain Scholar","Glowing Gruyere","-","17.91%","Corridor Bruiser",193167
"Labyrinth","Plain Scholar","Glowing Gruyere","-","15.91%","Lost Legionnaire",193167
"Labyrinth","Plain Scholar","Glowing Gruyere","-","14.67%","Lost",193167
"Labyrinth","Plain Scholar","Glowing Gruyere","-","1.97%","Reanimated Carver",193167
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","21.39%","Summoning Scholar",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","19.42%","Shadow Stalker",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","18.52%","Sanguinarian",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","13.98%","Corridor Bruiser",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","12.87%","Lost Legionnaire",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","12.22%","Lost",62743
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","1.61%","Reanimated Carver",62743
"Labyrinth","Superior Fealty","Glowing Gruyere","-","26.86%","Drudge",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","22.67%","Masked Pikeman",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","12.07%","Solemn Soldier",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","9.77%","Lost Legionnaire",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","9.74%","Corridor Bruiser",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","8.06%","Lost",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","7.86%","Mind Tearer",109178
"Labyrinth","Superior Fealty","Glowing Gruyere","-","2.97%","Reanimated Carver",109178
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","21.79%","Drudge",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","18.84%","Masked Pikeman",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","16.52%","Shadow Stalker",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","10.18%","Solemn Soldier",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","8.83%","Lost Legionnaire",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","7.89%","Corridor Bruiser",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","6.99%","Lost",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","6.57%","Mind Tearer",19737
"Labyrinth","Superior Fealty","SB+/Gouda/Brie","-","2.39%","Reanimated Carver",19737
"Labyrinth","Superior Tech","Glowing Gruyere","-","26.79%","RR-8",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","22.75%","Ash Golem",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","11.80%","Tech Golem",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","9.95%","Corridor Bruiser",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","9.91%","Lost Legionnaire",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","7.99%","Lost",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","7.80%","Automated Stone Sentry",106329
"Labyrinth","Superior Tech","Glowing Gruyere","-","3.01%","Reanimated Carver",106329
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","21.86%","RR-8",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","19.05%","Ash Golem",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","16.40%","Shadow Stalker",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","9.87%","Tech Golem",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","8.80%","Corridor Bruiser",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","8.18%","Lost Legionnaire",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","6.86%","Lost",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","6.70%","Automated Stone Sentry",17489
"Labyrinth","Superior Tech","SB+/Gouda/Brie","-","2.29%","Reanimated Carver",17489
"Labyrinth","Superior Scholar","Glowing Gruyere","-","27.05%","Summoning Scholar",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","22.85%","Sanguinarian",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","11.79%","Mystic Guardian",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","9.92%","Lost Legionnaire",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","9.70%","Corridor Bruiser",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","7.92%","Mystic Herald",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","7.86%","Lost",105575
"Labyrinth","Superior Scholar","Glowing Gruyere","-","2.92%","Reanimated Carver",105575
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","22.45%","Summoning Scholar",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","18.46%","Sanguinarian",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","16.24%","Shadow Stalker",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","10.22%","Mystic Guardian",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","8.51%","Corridor Bruiser",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","8.28%","Lost Legionnaire",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","6.76%","Mystic Herald",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","6.74%","Lost",17102
"Labyrinth","Superior Scholar","SB+/Gouda/Brie","-","2.34%","Reanimated Carver",17102
"Labyrinth","Epic Fealty","Glowing Gruyere","-","26.68%","Drudge",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","24.71%","Masked Pikeman",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","17.20%","Dark Templar",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","13.72%","Mind Tearer",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","6.81%","Solemn Soldier",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","4.04%","Corridor Bruiser",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","3.91%","Reanimated Carver",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","1.93%","Lost Legionnaire",28101
"Labyrinth","Epic Fealty","Glowing Gruyere","-","1.00%","Lost",28101
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","23.32%","Drudge",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","21.70%","Masked Pikeman",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","15.44%","Dark Templar",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","13.36%","Mind Tearer",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","9.28%","Shadow Stalker",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","5.83%","Solemn Soldier",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","4.10%","Reanimated Carver",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","3.72%","Corridor Bruiser",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","2.08%","Lost Legionnaire",3705
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","1.16%","Lost",3705
"Labyrinth","Epic Tech","Glowing Gruyere","-","26.88%","RR-8",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","24.72%","Ash Golem",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","17.02%","Fungal Technomorph",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","13.61%","Automated Stone Sentry",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","7.05%","Tech Golem",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","4.05%","Reanimated Carver",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","3.77%","Corridor Bruiser",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","1.92%","Lost Legionnaire",29707
"Labyrinth","Epic Tech","Glowing Gruyere","-","0.98%","Lost",29707
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","25.33%","RR-8",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","21.70%","Ash Golem",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","15.44%","Fungal Technomorph",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","12.75%","Automated Stone Sentry",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","9.17%","Shadow Stalker",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","5.31%","Tech Golem",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","3.84%","Reanimated Carver",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","3.64%","Corridor Bruiser",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","1.70%","Lost Legionnaire",3466
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","1.13%","Lost",3466
"Labyrinth","Epic Scholar","Glowing Gruyere","-","26.73%","Summoning Scholar",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","24.60%","Sanguinarian",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","17.13%","Mystic Scholar",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","13.79%","Mystic Herald",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","6.93%","Mystic Guardian",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","4.07%","Corridor Bruiser",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","3.87%","Reanimated Carver",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","1.90%","Lost Legionnaire",28491
"Labyrinth","Epic Scholar","Glowing Gruyere","-","0.98%","Lost",28491
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","24.16%","Summoning Scholar",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","23.05%","Sanguinarian",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","15.13%","Mystic Scholar",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","12.84%","Mystic Herald",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","9.82%","Shadow Stalker",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","5.57%","Mystic Guardian",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","3.55%","Reanimated Carver",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","3.31%","Corridor Bruiser",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","1.47%","Lost Legionnaire",3410
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","1.09%","Lost",3410
"Labyrinth","Plain Farming","Glowing Gruyere","-","31.74%","Mush Monster",43036
"Labyrinth","Plain Farming","Glowing Gruyere","-","21.03%","Lost Legionnaire",43036
"Labyrinth","Plain Farming","Glowing Gruyere","-","19.83%","Lost",43036
"Labyrinth","Plain Farming","Glowing Gruyere","-","17.71%","Mushroom Harvester",43036
"Labyrinth","Plain Farming","Glowing Gruyere","-","4.86%","Corridor Bruiser",43036
"Labyrinth","Plain Farming","Glowing Gruyere","-","4.82%","Reanimated Carver",43036
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","28.43%","Mush Monster",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","19.61%","Mushroom Harvester",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","16.65%","Lost Legionnaire",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","16.31%","Lost",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","9.95%","Shadow Stalker",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","4.74%","Corridor Bruiser",52286
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","4.31%","Reanimated Carver",52286
"Labyrinth","Plain Treasury","Glowing Gruyere","-","27.94%","Hired Eidolon",44764
"Labyrinth","Plain Treasury","Glowing Gruyere","-","21.84%","Mimic",44764
"Labyrinth","Plain Treasury","Glowing Gruyere","-","20.92%","Lost Legionnaire",44764
"Labyrinth","Plain Treasury","Glowing Gruyere","-","14.79%","Lost",44764
"Labyrinth","Plain Treasury","Glowing Gruyere","-","12.53%","Corridor Bruiser",44764
"Labyrinth","Plain Treasury","Glowing Gruyere","-","1.99%","Reanimated Carver",44764
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","22.62%","Hired Eidolon",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","18.31%","Mimic",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","17.86%","Lost Legionnaire",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","15.49%","Shadow Stalker",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","12.82%","Lost",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","11.01%","Corridor Bruiser",19928
"Labyrinth","Plain Treasury","SB+/Gouda/Brie","-","1.90%","Reanimated Carver",19928
"Labyrinth","Superior Farming","Glowing Gruyere","-","28.23%","Mushroom Harvester",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","25.80%","Nightshade Nanny",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","19.88%","Mush Monster",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","10.02%","Lost Legionnaire",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","8.21%","Lost",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","4.75%","Reanimated Carver",24270
"Labyrinth","Superior Farming","Glowing Gruyere","-","3.11%","Corridor Bruiser",24270
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","27.92%","Mushroom Harvester",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","24.05%","Nightshade Nanny",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","18.58%","Mush Monster",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","9.50%","Lost Legionnaire",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","7.74%","Lost",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","4.72%","Reanimated Carver",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","4.63%","Shadow Stalker",14484
"Labyrinth","Superior Farming","SB+/Gouda/Brie","-","2.86%","Corridor Bruiser",14484
"Labyrinth","Superior Treasury","Glowing Gruyere","-","29.82%","Mimic",43835
