"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Lost City","Curse Lifted","Dewthief Camembert","-","21.37%","Ethereal Librarian",20075
"Lost City","Curse Lifted","Dewthief Camembert","-","20.68%","Essence Collector",20075
"Lost City","Curse Lifted","Dewthief Camembert","-","18.59%","Ethereal Enchanter",20075
"Lost City","Curse Lifted","Dewthief Camembert","-","17.83%","Ethereal Engineer",20075
"Lost City","Curse Lifted","Dewthief Camembert","-","17.81%","Ethereal Thief",20075
"Lost City","Curse Lifted","Dewthief Camembert","-","3.72%","Cursed",20075
"Lost City","Cursed","Dewthief Camembert","-","23.96%","Ethereal Enchanter",11947
"Lost City","Cursed","Dewthief Camembert","-","20.54%","Ethereal Librarian",11947
"Lost City","Cursed","Dewthief Camembert","-","20.35%","Ethereal Engineer",11947
"Lost City","Cursed","Dewthief Camembert","-","19.65%","Ethereal Thief",11947
"Lost City","Cursed","Dewthief Camembert","-","15.50%","Cursed",11947
"Lost City","Curse Lifted","Dewthief Camembert","Safeguard","23.11%","Ethereal Librarian",3488
"Lost City","Curse Lifted","Dewthief Camembert","Safeguard","21.33%","Essence Collector",3488
"Lost City","Curse Lifted","Dewthief Camembert","Safeguard","19.58%","Ethereal Enchanter",3488
"Lost City","Curse Lifted","Dewthief Camembert","Safeguard","18.09%","Ethereal Engineer",3488
"Lost City","Curse Lifted","Dewthief Camembert","Safeguard","17.89%","Ethereal Thief",3488
