"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Mountain","-","Cheddar","-","19.52%","Frozen",1696
"Mountain","-","Cheddar","-","18.99%","Brown",1696
"Mountain","-","Cheddar","-","18.40%","White",1696
"Mountain","-","Cheddar","-","17.75%","Granite",1696
"Mountain","-","Cheddar","-","17.33%","Grey",1696
"Mountain","-","Cheddar","-","8.02%","Dwarf",1696
"Mountain","-","White Cheddar","-","45.96%","Frozen",2857
"Mountain","-","White Cheddar","-","36.58%","Granite",2857
"Mountain","-","White Cheddar","-","17.47%","Dwarf",2857
"Mountain","-","Marble","-","17.24%","Granite",174
"Mountain","-","Marble","-","17.24%","Frozen",174
"Mountain","-","Marble","-","14.37%","Dwarf",174
"Mountain","-","Marble","-","11.49%","White",174
"Mountain","-","Marble","-","10.92%","Bionic",174
"Mountain","-","Marble","-","9.20%","Brown",174
"Mountain","-","Marble","-","7.47%","Gold",174
"Mountain","-","Marble","-","6.90%","Diamond",174
"Mountain","-","Marble","-","5.17%","Grey",174
"Mountain","-","Swiss","-","25.18%","Dwarf",560
"Mountain","-","Swiss","-","17.14%","Steel",560
"Mountain","-","Swiss","-","12.50%","Bionic",560
"Mountain","-","Swiss","-","9.11%","Frozen",560
"Mountain","-","Swiss","-","7.68%","Ninja",560
"Mountain","-","Swiss","-","6.25%","Gold",560
"Mountain","-","Swiss","-","6.07%","Diamond",560
"Mountain","-","Swiss","-","5.18%","Zombie",560
"Mountain","-","Swiss","-","4.64%","White",560
"Mountain","-","Swiss","-","3.57%","Brown",560
"Mountain","-","Swiss","-","2.68%","Grey",560
"Mountain","-","Brie","-","18.26%","Flying",4534
"Mountain","-","Brie","-","15.55%","Steel",4534
"Mountain","-","Brie","-","15.13%","Diamond",4534
"Mountain","-","Brie","-","15.09%","Bionic",4534
"Mountain","-","Brie","-","12.55%","Ninja",4534
"Mountain","-","Brie","-","11.27%","Gold",4534
"Mountain","-","Brie","-","7.79%","Frozen",4534
"Mountain","-","Brie","-","4.37%","Zombie",4534
"Mountain","-","Brie","Prospector's","20.60%","Diamond",403
"Mountain","-","Brie","Prospector's","16.13%","Flying",403
"Mountain","-","Brie","Prospector's","15.38%","Steel",403
"Mountain","-","Brie","Prospector's","15.14%","Gold",403
"Mountain","-","Brie","Prospector's","11.91%","Bionic",403
"Mountain","-","Brie","Prospector's","11.41%","Ninja",403
"Mountain","-","Brie","Prospector's","6.70%","Frozen",403
"Mountain","-","Brie","Prospector's","2.73%","Zombie",403
"Mountain","-","Gouda","-","18.80%","Flying",3042
"Mountain","-","Gouda","-","16.24%","Diamond",3042
"Mountain","-","Gouda","-","15.91%","Gold",3042
"Mountain","-","Gouda","-","15.09%","Steel",3042
"Mountain","-","Gouda","-","14.86%","Bionic",3042
"Mountain","-","Gouda","-","12.92%","Ninja",3042
"Mountain","-","Gouda","-","6.18%","Zombie",3042
"Mountain","-","Gouda","Prospector's","18.84%","Flying",982
"Mountain","-","Gouda","Prospector's","17.01%","Diamond",982
"Mountain","-","Gouda","Prospector's","15.17%","Bionic",982
"Mountain","-","Gouda","Prospector's","14.77%","Steel",982
"Mountain","-","Gouda","Prospector's","14.77%","Gold",982
"Mountain","-","Gouda","Prospector's","13.03%","Ninja",982
"Mountain","-","Gouda","Prospector's","6.42%","Zombie",982
"Mountain","-","SB+","-","19.63%","Flying",12735
"Mountain","-","SB+","-","15.05%","Pebble",12735
"Mountain","-","SB+","-","13.54%","Silvertail",12735
"Mountain","-","SB+","-","12.94%","Fog",12735
"Mountain","-","SB+","-","11.31%","Frosty Snow",12735
"Mountain","-","SB+","-","10.75%","Gold",12735
"Mountain","-","SB+","-","6.84%","Diamond",12735
"Mountain","-","SB+","-","6.12%","Ninja",12735
"Mountain","-","SB+","-","2.81%","Zombie",12735
"Mountain","-","SB+","-","1.01%","Black Widow",12735
"Mountain","-","SB+","Prospector's","17.95%","Silvertail",1025
"Mountain","-","SB+","Prospector's","16.20%","Flying",1025
"Mountain","-","SB+","Prospector's","15.80%","Gold",1025
"Mountain","-","SB+","Prospector's","14.54%","Diamond",1025
"Mountain","-","SB+","Prospector's","10.73%","Pebble",1025
"Mountain","-","SB+","Prospector's","9.66%","Fog",1025
"Mountain","-","SB+","Prospector's","8.29%","Frosty Snow",1025
"Mountain","-","SB+","Prospector's","3.80%","Ninja",1025
"Mountain","-","SB+","Prospector's","2.24%","Zombie",1025
"Mountain","-","SB+","Prospector's","0.78%","Black Widow",1025
"Mountain","-","Chedd-Ore","-","35.63%","Craggy Ore",21531
"Mountain","-","Chedd-Ore","-","34.57%","Slope Swimmer",21531
"Mountain","-","Chedd-Ore","-","29.80%","Mountain",21531
"Mountain","-","Abominable Asiago","-","100.00%","Abominable Snow",3165
