"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Mousoleum","No Wall","Radioactive Blue","-","40.63%","Gluttonous Zombie",56971
"Mousoleum","No Wall","Radioactive Blue","-","29.43%","Zombie",56971
"Mousoleum","No Wall","Radioactive Blue","-","24.54%","Ravenous Zombie",56971
"Mousoleum","No Wall","Radioactive Blue","-","5.34%","Coffin Zombie",56971
"Mousoleum","No Wall","Radioactive Blue","-","0.06%","Glitchpaw",56971
"Mousoleum","No Wall","Rancid Radioactive Blue","-","31.89%","Gluttonous Zombie",1082
"Mousoleum","No Wall","Rancid Radioactive Blue","-","29.39%","Zombie",1082
"Mousoleum","No Wall","Rancid Radioactive Blue","-","23.48%","Ravenous Zombie",1082
"Mousoleum","No Wall","Rancid Radioactive Blue","-","15.25%","Coffin Zombie",1082
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","28.03%","Gluttonous Zombie",132
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","26.52%","Zombie",132
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","26.52%","Coffin Zombie",132
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","18.94%","Ravenous Zombie",132
"Mousoleum","No Wall","Undead Emmental","-","27.31%","Coffin Zombie",3211
"Mousoleum","No Wall","Undead Emmental","-","20.99%","Gluttonous Zombie",3211
"Mousoleum","No Wall","Undead Emmental","-","19.90%","Zombie",3211
"Mousoleum","No Wall","Undead Emmental","-","14.01%","Ravenous Zombie",3211
"Mousoleum","No Wall","Undead Emmental","-","10.12%","Grave Robber",3211
"Mousoleum","No Wall","Undead Emmental","-","7.66%","Zombot Unipire",3211
"Mousoleum","No Wall","Crimson","-","98.36%","Coffin Zombie",4831
"Mousoleum","No Wall","Crimson","-","1.64%","Gluttonous Zombie",4831
"Mousoleum","Has Wall","Crimson","-","54.35%","Mousevina von Vermin",12384
"Mousoleum","Has Wall","Crimson","-","15.00%","Vampire",12384
"Mousoleum","Has Wall","Crimson","-","10.93%","Ghost",12384
"Mousoleum","Has Wall","Crimson","-","9.94%","Mummy",12384
"Mousoleum","Has Wall","Crimson","-","9.71%","Bat",12384
"Mousoleum","Has Wall","Crimson","-","0.07%","Coffin Zombie",12384
"Mousoleum","Has Wall","Moon","-","53.28%","Lycan",2573
"Mousoleum","Has Wall","Moon","-","13.53%","Ghost",2573
"Mousoleum","Has Wall","Moon","-","12.13%","Vampire",2573
"Mousoleum","Has Wall","Moon","-","10.65%","Bat",2573
"Mousoleum","Has Wall","Moon","-","10.42%","Mummy",2573
"Mousoleum","Has Wall","Crescent","-","56.62%","Lycan",574
"Mousoleum","Has Wall","Crescent","-","14.98%","Ghost",574
"Mousoleum","Has Wall","Crescent","-","10.98%","Vampire",574
"Mousoleum","Has Wall","Crescent","-","9.41%","Mummy",574
"Mousoleum","Has Wall","Crescent","-","8.01%","Bat",574
"Mousoleum","Has Wall","Radioactive Blue","-","35.46%","Bat",37220
"Mousoleum","Has Wall","Radioactive Blue","-","20.03%","Vampire",37220
"Mousoleum","Has Wall","Radioactive Blue","-","19.72%","Mummy",37220
"Mousoleum","Has Wall","Radioactive Blue","-","15.75%","Ghost",37220
"Mousoleum","Has Wall","Radioactive Blue","-","5.88%","Giant Snail",37220
"Mousoleum","Has Wall","Radioactive Blue","-","2.03%","Monster",37220
"Mousoleum","Has Wall","Radioactive Blue","-","0.96%","Black Widow",37220
"Mousoleum","Has Wall","Radioactive Blue","-","0.09%","Gluttonous Zombie",37220
"Mousoleum","Has Wall","Radioactive Blue","-","0.06%","Ravenous Zombie",37220
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","39.31%","Bat",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","27.04%","Vampire",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","14.78%","Mummy",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","9.71%","Ghost",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","5.78%","Giant Snail",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","2.44%","Monster",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","0.90%","Black Widow",2544
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","0.04%","Ravenous Zombie",2544
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","39.76%","Bat",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","35.62%","Vampire",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","9.98%","Mummy",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","6.43%","Giant Snail",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","4.65%","Ghost",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","2.37%","Monster",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","1.10%","Black Widow",1182
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","0.08%","Coffin Zombie",1182
"Mousoleum","Has Wall","Undead Emmental","-","28.96%","Ghost",5722
"Mousoleum","Has Wall","Undead Emmental","-","28.84%","Mummy",5722
"Mousoleum","Has Wall","Undead Emmental","-","17.69%","Vampire",5722
"Mousoleum","Has Wall","Undead Emmental","-","14.26%","Grave Robber",5722
"Mousoleum","Has Wall","Undead Emmental","-","10.22%","Zombot Unipire",5722
"Mousoleum","Has Wall","Undead Emmental","-","0.02%","Zombie",5722
"Mousoleum","Has Wall","Undead Emmental","-","0.02%","Coffin Zombie",5722
