"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Moussu Picchu","-","Glowing Gruyere","-","29.56%","Rainwater Purifier",66485
"Moussu Picchu","-","Glowing Gruyere","-","28.10%","Breeze Borrower",66485
"Moussu Picchu","-","Glowing Gruyere","-","16.38%","Cloud Collector",66485
"Moussu Picchu","-","Glowing Gruyere","-","16.34%","Windy Farmer",66485
"Moussu Picchu","-","Glowing Gruyere","-","9.62%","Homeopathic Apothecary",66485
"Moussu Picchu","-","SB+","-","24.17%","Windy Farmer",13728
"Moussu Picchu","-","SB+","-","24.01%","Cloud Collector",13728
"Moussu Picchu","-","SB+","-","17.32%","Breeze Borrower",13728
"Moussu Picchu","-","SB+","-","17.21%","Rainwater Purifier",13728
"Moussu Picchu","-","SB+","-","8.01%","Nightshade Maiden",13728
"Moussu Picchu","-","SB+","-","6.61%","Nightshade Flower Girl",13728
"Moussu Picchu","-","SB+","-","2.68%","Spore Salesman",13728
"Moussu Picchu","-","Gouda","-","22.12%","Windy Farmer",97125
"Moussu Picchu","-","Gouda","-","21.94%","Cloud Collector",97125
"Moussu Picchu","-","Gouda","-","15.80%","Spore Salesman",97125
"Moussu Picchu","-","Gouda","-","14.80%","Nightshade Flower Girl",97125
"Moussu Picchu","-","Gouda","-","12.73%","Breeze Borrower",97125
"Moussu Picchu","-","Gouda","-","12.60%","Rainwater Purifier",97125
"Moussu Picchu","-","Brie","-","22.22%","Cloud Collector",2831
"Moussu Picchu","-","Brie","-","21.12%","Windy Farmer",2831
"Moussu Picchu","-","Brie","-","15.54%","Spore Salesman",2831
"Moussu Picchu","-","Brie","-","14.45%","Rainwater Purifier",2831
"Moussu Picchu","-","Brie","-","14.31%","Nightshade Flower Girl",2831
"Moussu Picchu","-","Brie","-","12.36%","Breeze Borrower",2831
"Moussu Picchu","Rain low","Rainy","-","59.59%","Rain Wallower",11699
"Moussu Picchu","Rain low","Rainy","-","40.41%","Rain Collector",11699
"Moussu Picchu","Rain medium","Rainy","-","58.19%","Rain Summoner",26353
"Moussu Picchu","Rain medium","Rainy","-","41.81%","Monsoon Maker",26353
"Moussu Picchu","Rain high","Rainy","-","58.50%","Monsoon Maker",74793
"Moussu Picchu","Rain high","Rainy","-","41.50%","Rainmancer",74793
"Moussu Picchu","Rain max","Rainy","-","100.00%","Rainmancer",49801
"Moussu Picchu","Wind low","Windy","-","60.19%","Wind Watcher",12238
"Moussu Picchu","Wind low","Windy","-","39.81%","Charming Chimer",12238
"Moussu Picchu","Wind medium","Windy","-","57.55%","Fluttering Flutist",27825
"Moussu Picchu","Wind medium","Windy","-","42.45%","Cycloness",27825
"Moussu Picchu","Wind high","Windy","-","58.62%","Cycloness",81625
"Moussu Picchu","Wind high","Windy","-","41.38%","Wind Warrior",81625
"Moussu Picchu","Wind max","Windy","-","100.00%","Wind Warrior",46652
"Moussu Picchu","Storm low","Dragonvine","-","61.07%","Thunder Strike",1978
"Moussu Picchu","Storm low","Dragonvine","-","38.93%","Violet Stormchild",1978
"Moussu Picchu","Storm medium","Dragonvine","-","57.38%","Thunderlord",17056
"Moussu Picchu","Storm medium","Dragonvine","-","42.62%","Thundering Watcher",17056
"Moussu Picchu","Storm high","Dragonvine","-","58.31%","Thundering Watcher",38917
"Moussu Picchu","Storm high","Dragonvine","-","36.99%","Ful'Mina, The Mountain Queen",38917
"Moussu Picchu","Storm high","Dragonvine","-","4.70%","Dragoon",38917
"Moussu Picchu","Storm max","Dragonvine","-","100.00%","Ful'Mina, The Mountain Queen",362074
