"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso Geyser","Cork Collecting","Bland Queso","-","100.00%","Fuzzy Drake",11226
"Queso Geyser","Cork Collecting","Mild Queso","-","75.12%","Cork Defender",38790
"Queso Geyser","Cork Collecting","Mild Queso","-","24.88%","Fuzzy Drake",38790
"Queso Geyser","Cork Collecting","Medium Queso","-","72.31%","Burly Bruiser",31631
"Queso Geyser","Cork Collecting","Medium Queso","-","23.19%","Cork Defender",31631
"Queso Geyser","Cork Collecting","Medium Queso","-","3.72%","Fuzzy Drake",31631
"Queso Geyser","Cork Collecting","Medium Queso","-","0.78%","Corky, the Collector",31631
"Queso Geyser","Cork Collecting","Hot Queso","-","75.24%","Horned Cork Hoarder",25922
"Queso Geyser","Cork Collecting","Hot Queso","-","16.00%","Burly Bruiser",25922
"Queso Geyser","Cork Collecting","Hot Queso","-","4.85%","Cork Defender",25922
"Queso Geyser","Cork Collecting","Hot Queso","-","2.87%","Corky, the Collector",25922
"Queso Geyser","Cork Collecting","Hot Queso","-","1.05%","Fuzzy Drake",25922
"Queso Geyser","Cork Collecting","Flamin' Queso","-","75.02%","Rambunctious Rain Rumbler",49078
"Queso Geyser","Cork Collecting","Flamin' Queso","-","15.00%","Horned Cork Hoarder",49078
"Queso Geyser","Cork Collecting","Flamin' Queso","-","7.00%","Corky, the Collector",49078
"Queso Geyser","Cork Collecting","Flamin' Queso","-","1.93%","Burly Bruiser",49078
"Queso Geyser","Cork Collecting","Flamin' Queso","-","1.05%","Cork Defender",49078
"Queso Geyser","Cork Collecting","Wildfire Queso","-","100.00%","Corkataur",6812
"Queso Geyser","Pressure Building","Mild Queso","-","100.00%","Steam Sailor",19700
"Queso Geyser","Pressure Building","Medium Queso","-","84.99%","Warming Wyvern",47289
"Queso Geyser","Pressure Building","Medium Queso","-","15.01%","Steam Sailor",47289
"Queso Geyser","Pressure Building","Hot Queso","-","85.17%","Vaporior",68356
"Queso Geyser","Pressure Building","Hot Queso","-","9.80%","Warming Wyvern",68356
