"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.68%","Pump Raider",674498
"Queso River","-","Gouda","-","30.69%","Tiny Saboteur",674498
"Queso River","-","Gouda","-","29.73%","Queso Extractor",674498
"Queso River","-","Gouda","-","4.90%","Croquet Crusher",674498
"Queso River","-","Brie","-","34.89%","Pump Raider",50953
"Queso River","-","Brie","-","30.60%","Tiny Saboteur",50953
"Queso River","-","Brie","-","29.65%","Queso Extractor",50953
"Queso River","-","Brie","-","4.86%","Croquet Crusher",50953
"Queso River","-","SB+","-","30.94%","Tiny Saboteur",166973
"Queso River","-","SB+","-","28.69%","Pump Raider",166973
"Queso River","-","SB+","-","24.75%","Sleepy Merchant",166973
"Queso River","-","SB+","-","9.75%","Queso Extractor",166973
"Queso River","-","SB+","-","5.86%","Croquet Crusher",166973
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",57402
