"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"School of Sorcery","Hallway","SB+/Gouda/Brie","-","100%","Hall Monitor",1
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","42.73%","Broomstick Bungler",81519
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","41.28%","Perpetual Detention",81519
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","15.99%","Misfortune Teller",81519
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","44.52%","Invisible Fashionista",139430
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","40.46%","Arcana Overachiever",139430
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","15.01%","Enchanted Chess Club Champion",139430
"School of Sorcery","Arcane Arts","Master Mimolette","-","44.83%","Featherlight",37164
"School of Sorcery","Arcane Arts","Master Mimolette","-","40.08%","Illustrious Illusionist",37164
"School of Sorcery","Arcane Arts","Master Mimolette","-","15.09%","Constructively Critical Artist",37164
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","42.73%","Uncoordinated Cauldron Carrier",81519
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","41.28%","Mixing Mishap",81519
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","15.99%","Bookworm",81519
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","44.52%","Audacious Alchemist",139430
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","40.46%","Classroom Keener",139430
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","15.01%","Prestigious Prestidigitator",139430
"School of Sorcery","Shadow Sciences","Master Mimolette","-","44.83%","Teleporting Truant",37164
"School of Sorcery","Shadow Sciences","Master Mimolette","-","40.08%","Classroom Disrupter",37164
"School of Sorcery","Shadow Sciences","Master Mimolette","-","15.09%","Magical Multitasker",37164
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","35.53%","Broomstick Bungler",9675
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","27.83%","Perpetual Detention",9675
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","27.52%","Misfortune Teller",9675
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","9.11%","Sleep Starved Scholar",9675
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","34.74%","Invisible Fashionista",33548
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","31.12%","Arcana Overachiever",33548
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","24.62%","Enchanted Chess Club Champion",33548
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","9.52%","Class Clown",33548
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","34.44%","Featherlight",99886
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","30.38%","Illustrious Illusionist",99886
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","24.93%","Constructively Critical Artist",99886
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","10.25%","Tyrannical Thaumaturge",99886
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","35.53%","Uncoordinated Cauldron Carrier",9675
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","27.52%","Bookworm",9675
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","27.83%","Mixing Mishap",9675
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","9.11%","Cheat Sheet Conjurer",9675
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","34.74%","Audacious Alchemist",33548
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","31.12%","Classroom Keener",33548
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","24.62%","Prestigious Prestidigitator",33548
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","9.52%","Celestial Summoner",33548
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","34.44%","Teleporting Truant",99886
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","30.38%","Classroom Disrupter",99886
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","24.93%","Magical Multitasker",99886
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","10.25%","Data Devourer",99886
"School of Sorcery","Arcane Arts - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Arcane Master Sorcerer",1
"School of Sorcery","Shadow Sciences - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Shadow Master Sorcerer",1
"School of Sorcery","Final Exam - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Mythical Master Sorcerer",1
