"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"SUPER|brie+ Factory","Pump Room","Coggy Colby","-","29.80%","Time Thief",116777
"SUPER|brie+ Factory","Pump Room","Coggy Colby","-","26.47%","Time Punk",116777
"SUPER|brie+ Factory","Pump Room","Coggy Colby","-","19.70%","Reality Restitch",116777
"SUPER|brie+ Factory","Pump Room","Coggy Colby","-","12.32%","Space Party-Time Plumber",116777
"SUPER|brie+ Factory","Pump Room","Coggy Colby","-","11.71%","Time Tailor",116777
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","-","29.44%","Time Thief",14707
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","-","25.71%","Time Punk",14707
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","-","20.21%","Reality Restitch",14707
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","-","14.86%","Space Party-Time Plumber",14707
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","-","9.78%","Time Tailor",14707
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","23.43%","Time Thief",39789
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","22.32%","Time Punk",39789
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","20.07%","Factory Technician",39789
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","14.34%","Reality Restitch",39789
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","13.31%","Time Tailor",39789
"SUPER|brie+ Factory","Pump Room","Coggy Colby","Factory Repair Charm","6.53%","Space Party-Time Plumber",39789
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","23.72%","Time Thief",24659
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","20.60%","Time Punk",24659
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","20.31%","Factory Technician",24659
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","15.71%","Reality Restitch",24659
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","11.58%","Space Party-Time Plumber",24659
"SUPER|brie+ Factory","Pump Room","Speedy Coggy Colby","Factory Repair Charm","8.08%","Time Tailor",24659
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","18.44%","Super FighterBot MegaSupreme",108513
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","17.17%","Force Fighter Blue",108513
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","16.31%","Force Fighter Red",108513
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","16.17%","Force Fighter Green",108513
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","15.96%","Force Fighter Pink",108513
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","-","15.95%","Force Fighter Yellow",108513
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","19.72%","Super FighterBot MegaSupreme",12935
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","16.98%","Force Fighter Blue",12935
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","16.49%","Force Fighter Red",12935
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","15.66%","Force Fighter Yellow",12935
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","15.61%","Force Fighter Green",12935
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","-","15.54%","Force Fighter Pink",12935
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","20.27%","Factory Technician",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","14.01%","Force Fighter Blue",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","13.69%","Force Fighter Green",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","13.14%","Force Fighter Pink",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","13.04%","Super FighterBot MegaSupreme",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","13.02%","Force Fighter Red",33138
"SUPER|brie+ Factory","Mixing Room","Coggy Colby","Factory Repair Charm","12.83%","Force Fighter Yellow",33138
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","19.99%","Factory Technician",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","16.37%","Super FighterBot MegaSupreme",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","13.22%","Force Fighter Blue",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","12.97%","Force Fighter Pink",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","12.65%","Force Fighter Green",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","12.53%","Force Fighter Red",19583
"SUPER|brie+ Factory","Mixing Room","Speedy Coggy Colby","Factory Repair Charm","12.27%","Force Fighter Yellow",19583
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","25.09%","Breakdancer",127906
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","24.47%","Para Para Dancer",127906
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","21.58%","Dance Party",127906
"SUPER|brie+ Factory","Break Room","Coggy Colby","-","17.05%","Fete Fromager",127906
