"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Table of Contents","Not Writing","Gouda","-","40.5%","Brothers Grimmaus",8762
"Table of Contents","Not Writing","Gouda","-","36.88%","Hans Cheesetian Squeakersen",8762
"Table of Contents","Not Writing","Gouda","-","25.37%","Madame d'Ormouse",8762
"Table of Contents","Not Writing","SB+","-","29.39%","Brothers Grimmaus",6013
"Table of Contents","Not Writing","SB+","-","21.39%","Hans Cheesetian Squeakersen",6013
"Table of Contents","Not Writing","SB+","-","19.36%","Madame d'Ormouse",6013
"Table of Contents","Not Writing","SB+","-","29.8%","Matriarch Gander",6013
"Table of Contents","Writing","Gouda","-","41.04%","Humphrey Dumphrey",5374
"Table of Contents","Writing","Gouda","-","24.81%","Little Bo Squeak",5374
"Table of Contents","Writing","Gouda","-","37.36%","Little Miss Fluffet",5374
"Table of Contents","Writing","SB+","-","29.12%","Humphrey Dumphrey",2802
"Table of Contents","Writing","SB+","-","19.99%","Little Bo Squeak",2802
"Table of Contents","Writing","SB+","-","20.7%","Little Miss Fluffet",2802
"Table of Contents","Writing","SB+","-","30.01%","Matriarch Gander",2802
"Table of Contents","Writing","First Draft Derby","-","36.52%","Princess and the Olive",8555
"Table of Contents","Writing","First Draft Derby","-","38.55%","Pinkielina",8555
"Table of Contents","Writing","First Draft Derby","-","24.56%","Fibbocchio",8555
"Table of Contents","Writing","Second Draft Derby","-","35.54%","Greenbeard",48418
"Table of Contents","Writing","Second Draft Derby","-","39.33%","Flamboyant Flautist",48418
"Table of Contents","Writing","Second Draft Derby","-","25%","Ice Regent",48418
"Table of Contents","Writing","Final Draft Derby","-","100%","Bitter Grammarian",19542
"Table of Contents","Encyclopedia","Final Draft Derby","-","60.15%","Bitter Grammarian",44110
"Table of Contents","Encyclopedia","Final Draft Derby","-","39.76%","Mythweaver",44110
