"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Town of Digby","-","Brie","-","24.36%","Bionic",3440
"Town of Digby","-","Brie","-","23.52%","Granite",3440
"Town of Digby","-","Brie","-","20.84%","Steel",3440
"Town of Digby","-","Brie","-","10.12%","Dwarf",3440
"Town of Digby","-","Brie","-","6.48%","Gold",3440
"Town of Digby","-","Brie","-","6.40%","Zombie",3440
"Town of Digby","-","Brie","-","6.31%","Diamond",3440
"Town of Digby","-","Brie","-","1.45%","Bat",3440
"Town of Digby","-","Brie","-","0.52%","Mole",3440
"Town of Digby","-","Gouda","-","24.26%","Bionic",4609
"Town of Digby","-","Gouda","-","22.89%","Granite",4609
"Town of Digby","-","Gouda","-","20.83%","Steel",4609
"Town of Digby","-","Gouda","-","10.41%","Dwarf",4609
"Town of Digby","-","Gouda","-","7.16%","Gold",4609
"Town of Digby","-","Gouda","-","6.99%","Zombie",4609
"Town of Digby","-","Gouda","-","6.14%","Diamond",4609
"Town of Digby","-","Gouda","-","0.91%","Bat",4609
"Town of Digby","-","Gouda","-","0.41%","Mole",4609
"Town of Digby","-","SB+","-","23.10%","Bionic",12598
"Town of Digby","-","SB+","-","20.99%","Granite",12598
"Town of Digby","-","SB+","-","18.85%","Steel",12598
"Town of Digby","-","SB+","-","11.89%","Zombie",12598
"Town of Digby","-","SB+","-","10.25%","Dwarf",12598
"Town of Digby","-","SB+","-","5.79%","Diamond",12598
"Town of Digby","-","SB+","-","5.38%","Gold",12598
"Town of Digby","-","SB+","-","1.37%","Mole",12598
"Town of Digby","-","SB+","-","0.96%","Bat",12598
"Town of Digby","-","SB+","-","0.95%","Nibbler",12598
"Town of Digby","-","SB+","-","0.47%","Black Widow",12598
"Town of Digby","-","Limelight","-","15.71%","Industrious Digger",150322
"Town of Digby","-","Limelight","-","13.70%","Stone Cutter",150322
"Town of Digby","-","Limelight","-","11.72%","Demolitions",150322
"Town of Digby","-","Limelight","-","10.40%","Itty-Bitty Burroughs",150322
"Town of Digby","-","Limelight","-","9.90%","Miner",150322
"Town of Digby","-","Limelight","-","9.85%","Core Sample",150322
"Town of Digby","-","Limelight","-","9.74%","Rock Muncher",150322
"Town of Digby","-","Limelight","-","7.94%","Lambent Crystal",150322
"Town of Digby","-","Limelight","-","5.67%","Big Bad Burroughs",150322
"Town of Digby","-","Limelight","-","4.90%","Subterranean",150322
"Town of Digby","-","Limelight","-","0.47%","Nugget",150322
"Town of Digby","-","Limelight","Mining","14.66%","Industrious Digger",52527
"Town of Digby","-","Limelight","Mining","14.48%","Itty-Bitty Burroughs",52527
"Town of Digby","-","Limelight","Mining","12.78%","Stone Cutter",52527
"Town of Digby","-","Limelight","Mining","10.94%","Demolitions",52527
"Town of Digby","-","Limelight","Mining","9.19%","Rock Muncher",52527
"Town of Digby","-","Limelight","Mining","9.01%","Miner",52527
"Town of Digby","-","Limelight","Mining","8.96%","Core Sample",52527
"Town of Digby","-","Limelight","Mining","7.79%","Big Bad Burroughs",52527
"Town of Digby","-","Limelight","Mining","7.30%","Lambent Crystal",52527
"Town of Digby","-","Limelight","Mining","4.44%","Subterranean",52527
"Town of Digby","-","Limelight","Mining","0.44%","Nugget",52527
