"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Hero","Rancid Radioactive Blue","-","21.03%","Mutated Siblings",5729
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.91%","Sludge",5729
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.53%","Swamp Runner",5729
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.70%","Spore",5729
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.53%","Monster Tail",5729
"Toxic Spill","Hero","Rancid Radioactive Blue","-","4.29%","Bog Beast",5729
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","10.08%","Monster Tail",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.45%","Gelatinous Octahedron",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.08%","Spore",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.81%","Biohazard",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.14%","Scrap Metal Monster",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.09%","Sludge Soaker",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.46%","Plague Hag",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.46%","Mutant Ninja",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.37%","Bog Beast",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.33%","Tentacle",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.15%","Telekinetic Mutant",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.21%","Toxic Warrior",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.85%","Slimefist",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.63%","Mutant Mongrel",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.54%","Swamp Runner",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.45%","Sludge",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.45%","Outbreak Assassin",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.18%","Mutated Siblings",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","1.39%","The Menace",2233
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","0.90%","Sludge Swimmer",2233
"Toxic Spill","Knight","Rancid Radioactive Blue","-","30.19%","Monster Tail",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","28.70%","Spore",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","14.21%","Sludge",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","11.14%","Gelatinous Octahedron",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","6.12%","Bog Beast",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","5.10%","Swamp Runner",6631
"Toxic Spill","Knight","Rancid Radioactive Blue","-","4.54%","Mutated Siblings",6631
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","14.69%","Gelatinous Octahedron",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.29%","Scrap Metal Monster",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.26%","Spore",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.15%","Biohazard",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.05%","Plague Hag",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.98%","Sludge Soaker",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.55%","Monster Tail",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.38%","Slimefist",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.20%","Telekinetic Mutant",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.20%","Mutant Ninja",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.99%","Tentacle",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.96%","Outbreak Assassin",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.50%","Mutant Mongrel",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.43%","Toxic Warrior",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","3.90%","Sludge Swimmer",2845
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","2.81%","The Menace",2845
