"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Valour Rift","Outside","Gauntlet String","-","69.17%","Elixir Maker",197331
"Valour Rift","Outside","Gauntlet String","-","30.79%","Timid Explorer",197331
"Valour Rift","Outside","Gauntlet String","-","0.04%","Glitchpaw",197331
"Valour Rift","Outside","Magical String","-","69.20%","Elixir Maker",9730
"Valour Rift","Outside","Magical String","-","30.72%","Timid Explorer",9730
"Valour Rift","Outside","Magical String","-","0.08%","Glitchpaw",9730
"Valour Rift","Outside","Brie String","-","62.36%","Elixir Maker",427320
"Valour Rift","Outside","Brie String","-","37.62%","Timid Explorer",427320
"Valour Rift","Outside","Brie String","-","0.02%","Glitchpaw",427320
"Valour Rift","Outside","Swiss String","-","52.57%","Elixir Maker",6680
"Valour Rift","Outside","Swiss String","-","47.43%","Timid Explorer",6680
"Valour Rift","Floors 1-7","Gauntlet String","-","22.28%","Terrified Adventurer",317123
"Valour Rift","Floors 1-7","Gauntlet String","-","14.20%","Unwavering Adventurer",317123
"Valour Rift","Floors 1-7","Gauntlet String","-","4.22%","Berzerker",317123
"Valour Rift","Floors 1-7","Gauntlet String","-","2.86%","Lumi-lancer",317123
"Valour Rift","Floors 1-7","Gauntlet String","-","56.44%","Floor Basic",317123
"Valour Rift","Floors 9-15","Gauntlet String","-","28.00%","Possessed Armaments",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","13.33%","Terrified Adventurer",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","8.94%","Unwavering Adventurer",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","2.75%","Berzerker",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","1.83%","Lumi-lancer",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","36.03%","Floor Basic",409542
"Valour Rift","Floors 9-15","Gauntlet String","-","9.13%","Floor Champion",409542
"Valour Rift","Floors 17-23","Gauntlet String","-","13.20%","Possessed Armaments",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","12.43%","Prestigious Adventurer",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","12.39%","Terrified Adventurer",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","8.28%","Unwavering Adventurer",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","2.48%","Berzerker",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","1.67%","Lumi-lancer",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","32.98%","Floor Basic",377160
"Valour Rift","Floors 17-23","Gauntlet String","-","16.58%","Floor Champion",377160
"Valour Rift","Floors 25-31+","Gauntlet String","-","10.56%","Soldier of the Shade",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","10.55%","Terrified Adventurer",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","7.05%","Unwavering Adventurer",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","7.05%","Prestigious Adventurer",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","4.21%","Possessed Armaments",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","2.13%","Berzerker",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","1.42%","Lumi-lancer",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","28.37%","Floor Basic",807641
"Valour Rift","Floors 25-31+","Gauntlet String","-","28.68%","Floor Champion",807641
"Valour Rift","Umbra Floors 1-7","Gauntlet String","-","18.05%","Terrified Adventurer",38972
"Valour Rift","Umbra Floors 1-7","Gauntlet String","-","17.69%","Bulwark of Ascent",38972
