"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Zokor","Fealty 15+","Glowing Gruyere","-","36.65%","Masked Pikeman",2647
"Zokor","Fealty 15+","Glowing Gruyere","-","33.21%","Drudge",2647
"Zokor","Fealty 15+","Glowing Gruyere","-","20.97%","Reanimated Carver",2647
"Zokor","Fealty 15+","Glowing Gruyere","-","9.18%","Battle Cleric",2647
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","30.40%","Masked Pikeman",2743
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","27.27%","Drudge",2743
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","20.38%","Shadow Stalker",2743
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","15.38%","Reanimated Carver",2743
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","6.56%","Battle Cleric",2743
"Zokor","Fealty 50+","Glowing Gruyere","-","34.40%","Battle Cleric",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","30.28%","Sir Fleekio",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","16.70%","Reanimated Carver",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","10.12%","Mind Tearer",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","5.90%","Solemn Soldier",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","1.34%","Drudge",4389
"Zokor","Fealty 50+","Glowing Gruyere","-","1.25%","Masked Pikeman",4389
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","27.95%","Battle Cleric",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","22.90%","Sir Fleekio",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","22.31%","Shadow Stalker",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","12.75%","Reanimated Carver",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","7.20%","Mind Tearer",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","5.51%","Solemn Soldier",2887
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","0.69%","Drudge",2887
