"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Zugzwang's Tower","Technic Pawn Pincher","SB+/Gouda/Brie","-","89.53%","Technic Pawn",46771
"Zugzwang's Tower","Technic Pawn Pincher","SB+/Gouda/Brie","-","10.47%","Mystic Pawn",46771
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","57.93%","Technic Knight",25694
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","22.85%","Mystic Pawn",25694
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","19.22%","Technic Pawn",25694
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","40.10%","Technic Bishop",30110
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","27.56%","Technic Knight",30110
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","22.33%","Mystic Pawn",30110
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","10.00%","Technic Pawn",30110
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","40.95%","Technic Rook",28276
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","23.82%","Technic Bishop",28276
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","18.79%","Mystic Pawn",28276
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","8.38%","Technic Knight",28276
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","8.06%","Technic Pawn",28276
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","28.70%","Technic Queen",15857
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","19.93%","Mystic Pawn",15857
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","19.08%","Technic Rook",15857
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","18.66%","Technic Bishop",15857
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","11.40%","Technic Knight",15857
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","2.23%","Technic Pawn",15857
"Zugzwang's Tower","Technic Queen","Checkmate","-","31.79%","Technic Queen",4146
"Zugzwang's Tower","Technic Queen","Checkmate","-","19.15%","Mystic Pawn",4146
"Zugzwang's Tower","Technic Queen","Checkmate","-","17.78%","Technic Rook",4146
"Zugzwang's Tower","Technic Queen","Checkmate","-","15.85%","Technic Bishop",4146
"Zugzwang's Tower","Technic Queen","Checkmate","-","13.72%","Technic Knight",4146
"Zugzwang's Tower","Technic Queen","Checkmate","-","1.71%","Technic Pawn",4146
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","17.60%","Technic Bishop",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","17.01%","Technic Queen",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","17.46%","Mystic Pawn",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","16.62%","Technic Rook",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","13.96%","Technic King",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","13.18%","Technic Knight",6227
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","4.18%","Technic Pawn",6227
"Zugzwang's Tower","Technic King","Checkmate","-","32.91%","Technic King",9104
"Zugzwang's Tower","Technic King","Checkmate","-","27.58%","Mystic Pawn",9104
"Zugzwang's Tower","Technic King","Checkmate","-","10.22%","Technic Queen",9104
"Zugzwang's Tower","Technic King","Checkmate","-","10.14%","Technic Rook",9104
"Zugzwang's Tower","Technic King","Checkmate","-","10.02%","Technic Bishop",9104
"Zugzwang's Tower","Technic King","Checkmate","-","6.40%","Technic Knight",9104
"Zugzwang's Tower","Technic King","Checkmate","-","2.74%","Technic Pawn",9104
"Zugzwang's Tower","Technic Chess Master","Checkmate","-","61.02%","Chess Master",3279
"Zugzwang's Tower","Technic Chess Master","Checkmate","-","27.39%","Mystic Pawn",3279
"Zugzwang's Tower","Technic Chess Master","Checkmate","-","11.59%","Technic Rook",3279
"Zugzwang's Tower","Mystic Pawn Pincher","SB+/Gouda/Brie","-","89.53%","Mystic Pawn",46771
"Zugzwang's Tower","Mystic Pawn Pincher","SB+/Gouda/Brie","-","10.47%","Technic Pawn",46771
"Zugzwang's Tower","Mystic Knights","SB+/Gouda/Brie","-","57.93%","Mystic Knight",25694
"Zugzwang's Tower","Mystic Knights","SB+/Gouda/Brie","-","22.85%","Technic Pawn",25694
"Zugzwang's Tower","Mystic Knights","SB+/Gouda/Brie","-","19.22%","Mystic Pawn",25694
"Zugzwang's Tower","Mystic Bishops","SB+/Gouda/Brie","-","40.10%","Mystic Bishop",30110
"Zugzwang's Tower","Mystic Bishops","SB+/Gouda/Brie","-","27.56%","Mystic Knight",30110
"Zugzwang's Tower","Mystic Bishops","SB+/Gouda/Brie","-","22.33%","Technic Pawn",30110
"Zugzwang's Tower","Mystic Bishops","SB+/Gouda/Brie","-","10.00%","Mystic Pawn",30110
"Zugzwang's Tower","Mystic Rooks","SB+/Gouda/Brie","-","40.95%","Mystic Rook",28276
"Zugzwang's Tower","Mystic Rooks","SB+/Gouda/Brie","-","23.82%","Mystic Bishop",28276
"Zugzwang's Tower","Mystic Rooks","SB+/Gouda/Brie","-","18.79%","Technic Pawn",28276
"Zugzwang's Tower","Mystic Rooks","SB+/Gouda/Brie","-","8.38%","Mystic Knight",28276
"Zugzwang's Tower","Mystic Rooks","SB+/Gouda/Brie","-","8.06%","Mystic Pawn",28276
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","28.70%","Mystic Queen",15857
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","19.93%","Technic Pawn",15857
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","19.08%","Mystic Rook",15857
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","18.66%","Mystic Bishop",15857
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","11.40%","Mystic Knight",15857
"Zugzwang's Tower","Mystic Queen","SB+/Gouda/Brie","-","2.23%","Mystic Pawn",15857
"Zugzwang's Tower","Mystic Queen","Checkmate","-","31.79%","Mystic Queen",4146
"Zugzwang's Tower","Mystic Queen","Checkmate","-","19.15%","Technic Pawn",4146
"Zugzwang's Tower","Mystic Queen","Checkmate","-","17.78%","Mystic Rook",4146
"Zugzwang's Tower","Mystic Queen","Checkmate","-","15.85%","Mystic Bishop",4146
"Zugzwang's Tower","Mystic Queen","Checkmate","-","13.72%","Mystic Knight",4146
"Zugzwang's Tower","Mystic Queen","Checkmate","-","1.71%","Mystic Pawn",4146
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","17.46%","Technic Pawn",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","16.62%","Mystic Rook",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","17.60%","Mystic Bishop",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","17.01%","Mystic Queen",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","13.96%","Mystic King",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","13.18%","Mystic Knight",6227
"Zugzwang's Tower","Mystic King","SB+/Gouda/Brie","-","4.18%","Mystic Pawn",6227
"Zugzwang's Tower","Mystic King","Checkmate","-","32.91%","Mystic King",9104
"Zugzwang's Tower","Mystic King","Checkmate","-","27.58%","Technic Pawn",9104
"Zugzwang's Tower","Mystic King","Checkmate","-","10.02%","Mystic Bishop",9104
