"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.95%","Swamp Runner",420
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.95%","Mutated Siblings",420
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.00%","Sludge",420
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.90%","Monster Tail",420
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.43%","Spore",420
"Toxic Spill","Hero","Rancid Radioactive Blue","-","4.76%","Bog Beast",420
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","21.03%","Mutated Siblings",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","17.95%","Swamp Runner",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","16.41%","Monster Tail",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","15.90%","Spore",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","14.87%","Lab Technician",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","11.79%","Sludge",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","2.05%","Bog Beast",195
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","18.12%","Sludge",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","16.11%","Swamp Runner",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","14.43%","Hazmat",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","14.09%","Mutated Siblings",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","11.41%","Spore",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","11.41%","Monster Tail",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","9.73%","Lab Technician",298
"Toxic Spill","Hero","Rancid Radioactive Blue","Super Rotten","4.70%","Bog Beast",298
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","13.38%","Monster Tail",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","10.56%","Biohazard",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.15%","Spore",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.15%","Scrap Metal Monster",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.04%","Gelatinous Octahedron",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.34%","Telekinetic Mutant",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.63%","Plague Hag",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.63%","Sludge Soaker",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.23%","Tentacle",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.23%","Sludge",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.23%","Mutant Mongrel",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.23%","Bog Beast",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.52%","Mutant Ninja",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.52%","Outbreak Assassin",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.11%","Mutated Siblings",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.11%","Toxic Warrior",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.11%","Slimefist",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.11%","Swamp Runner",142
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","0.70%","Sludge Swimmer",142
"Toxic Spill","Knight","Rancid Radioactive Blue","-","30.77%","Spore",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","28.21%","Monster Tail",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","13.46%","Sludge",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","11.54%","Gelatinous Octahedron",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","6.62%","Swamp Runner",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","5.77%","Bog Beast",468
"Toxic Spill","Knight","Rancid Radioactive Blue","-","3.63%","Mutated Siblings",468
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","27.10%","Spore",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","23.01%","Monster Tail",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","17.63%","Lab Technician",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","11.18%","Gelatinous Octahedron",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","8.82%","Sludge",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","4.30%","Swamp Runner",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","4.30%","Mutated Siblings",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","3.66%","Bog Beast",465
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","24.48%","Spore",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","23.30%","Monster Tail",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","13.27%","Sludge",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","8.85%","Lab Technician",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","8.85%","Hazmat",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","8.55%","Gelatinous Octahedron",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","5.31%","Swamp Runner",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","4.72%","Bog Beast",339
"Toxic Spill","Knight","Rancid Radioactive Blue","Super Rotten","2.65%","Mutated Siblings",339
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","13.57%","Gelatinous Octahedron",140
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","7.14%","Sludge Soaker",140
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","7.14%","Outbreak Assassin",140
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.43%","Toxic Warrior",140
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.71%","Biohazard",140
